term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
eventRemarks,Event Remarks,Poznámky k události,,,Remarques sur l'événement,,,,,調查活動註記,Comments or notes about the dwc:Event.,Komentáře nebo poznámky k dwc:Event.,,,Commentaires ou notes sur le dwc:Event.,,,,,可註記天氣或調查狀況等任何文字資訊。,,,,,,,,,,,,,,,,,,,,
eventTime,Event Time,Čas události,,,Heure de l'événement,,,,,調查時間,The time or interval during which a dwc:Event occurred.,"Čas nebo interval, během kterého došlo k události dwc:Event.",,,Le moment ou l'intervalle de temps pendant lequel un dwc:Event s'est produit.,,,,,該筆資料被記錄的時間。,Recommended best practice is to use a time of day that conforms to ISO 8601-1:2019.,"Doporučeným osvědčeným postupem je používat denní dobu, která odpovídá normě ISO 8601-1:2019.",,,La pratique optimale recommandée est d'utiliser une heure conforme à la norme ISO 8601-1:2019.,,,,,建議格式參考 ISO 8601-1:2019。,`14:07-06:00` (at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `08:40:21Z` (at or after 8:40:21am and before 8:41:22am UTC); `13:00:00Z/15:30:00Z` (at or after 1pm and before 3:30pm UTC),`14:07-06:00` (v 14:07 nebo později a před 14:08 v časovém pásmu o šest hodin dříve než UTC); `08:40:21Z` (v 8:40:21 nebo později a před 8:41:22 UTC); `13:00:00Z/15:30:00Z` (v 13:00 nebo později a před 15:30 UTC),,`14:07-06:00` (a las 14:07 o después y antes de las 14:08 en la zona horaria seis horas anterior a UTC); `08:40:21Z` (a las 08:40:21 o después y antes de las 08:41:22 UTC); `13:00:00Z/15:30:00Z` (a las 13:00 o después y antes de las 15:30 UTC),`14:07-06:00` (à ou après 14h07 et avant 14h08 dans le fuseau horaire six heures plus tôt que UTC) ; `08:40:21Z` (à ou après 8h40m21s et avant 8h41m22s UTC) ; `13:00:00Z/15:30:00Z` (à ou après 13h00 et avant 15h30 UTC),,,,,
eventType,Event Type,Typ události,,,Type d'événement,,,,,調查活動類型,The nature of the dwc:Event.,Charakter dwc:Event.,,,La nature du dwc:Event.,,,,,調查活動的性質。,"Recommended best practice is to use a controlled vocabulary. Regardless of the dwc:eventType, the interval of the dwc:Event can be captured in dwc:eventDate. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Bez ohledu na dwc:eventType lze interval dwc:Event zachytit v dwc:eventDate. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Indépendamment du dwc:eventType, l'intervalle du dwc:event peut être saisi dans dwc:eventDate. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'une IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,建議使用控制詞彙。,,,,,,,,,,
family,Family,Čeleď,,Familia,Famille,,,,,科,The full scientific name of the family in which the dwc:Taxon is classified.,"Úplný vědecký název čeledi, do které je dwc:Taxon zařazen.",,El nombre científico completo de la familia en el que se clasifica el dwc:Taxon.,Le nom scientifique complet de la famille dans laquelle le dwc:Taxon est classé.,,,,,,,,,,,,,,,,,,,,,,,,,
fieldNotes,Field Notes,Poznámky z terénu,,,Notes de terrain,,,,,野外調查註記,"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the dwc:Event.","Jeden z těchto údajů: a) indikátor existence, b) odkaz na (publikace, URI) nebo c) text poznámek pořízených v terénu o dwc:Event.",,,"L'un des éléments suivants : a) un indicateur de l'existence de, b) une référence à (publication, URI), ou c) les notes prises sur le terrain concernant le dwc:Event.",,,,,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'une IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
fieldNumber,Field Number,Číslo terénní poznámky,,,Numéro de terrain,,,,,野外調查編號,An identifier given to the dwc:Event in the field. Often serves as a link between field notes and the dwc:Event.,Identifikátor přidělený dwc:Event v terénu. Často slouží jako propojení mezi poznámkami v terénu a dwc:Event.,,,Identifiant donné au dwc:Event sur le terrain. Il sert souvent de lien entre les notes de terrain et le dwc:Event.,,,,,在野外給此調查活動的編號。,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
footprintSpatialFit,Footprint Spatial Fit,Stopa prostorového rozložení,,,Ajustement de l'emprise au sol,,,,,,"The ratio of the area of the dwc:footprintWKT to the area of the true (original, or most specific) spatial representation of the dcterms:Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given dwc:footprintWKT does not completely contain the original representation. The dwc:footprintSpatialFit is undefined (and should be left empty) if the original representation is any geometry without area (e.g., a point or polyline) and without uncertainty and the given georeference is not that same geometry (without uncertainty). If both the original and the given georeference are the same point, the dwc:footprintSpatialFit is 1.","Poměr plochy dwc:footprintWKT k ploše skutečné (původní nebo nejpřesnější) prostorové reprezentace dcterms:Location. Legální hodnoty jsou 0, větší nebo rovno 1 nebo nedefinováno. Hodnota 1 znamená přesnou shodu nebo 100% překrytí. Hodnota 0 by měla být použita, pokud daný dwc:footprintWKT zcela neobsahuje původní reprezentaci. Hodnota dwc:footprintSpatialFit je nedefinovaná (a měla by zůstat prázdná), pokud je původní reprezentace jakákoli geometrie bez plochy (např. bod nebo polylinie) a bez nejistoty a daný georeferenční údaj není stejná geometrie (bez nejistoty). Pokud je originál i daný georeferenční údaj stejný bod, je dwc:footprintSpatialFit 1.",,,"Le rapport entre la surface du dwc:footprintWKT et la surface de la véritable représentation spatiale (originale ou la plus précise) de la dcterms:Location. Les valeurs légales sont 0, supérieur ou égal à 1, ou indéfini. Une valeur de 1 correspond à une correspondance exacte ou à un chevauchement de 100 %. Une valeur de 0 doit être utilisée si le dwc:footprintWKT donné ne contient pas complètement la représentation originale. La valeur de dwc:footprintSpatialFit est indéfinie (et doit être laissée vide) si la représentation originale est une géométrie sans surface (par exemple, un point ou une polyligne) et sans incertitude, et si le géoréférencement donnée n'est pas cette même géométrie (sans incertitude). Si l'original et le géoréférencement donné sont le même point, la valeur de dwc:footprintSpatialFit est de 1.",,,,,,"Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","Podrobné vysvětlení s grafickými příklady lze nalézt v publikaci Georeferencing Best Practices, Chapman a Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,"Des explications détaillées avec des exemples illustrés figurent dans le document 'Georeferencing Best Practices', par Chapman et Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,,,,,,,,,,,,,
footprintSRS,Footprint SRS,Stopa SRS,,,SRS de l'emprise au sol,,,,,,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geometry given in dwc:footprintWKT is based.","Elipsoid, geodetický referenční bod nebo prostorový referenční systém (SRS), na kterém je založena geometrie uvedená v dwc:footprintWKT.",,,"L'ellipsoïde, le système de référence géodésique ou le système de référence spatiale (SRS) sur lequel la géométrie donnée dans dwc:footprintWKT est basée.",,,,,,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `not recorded`. It is also permitted to provide the SRS in Well-Known-Text, especially if no EPSG code provides the necessary values for the attributes of the SRS. Do not use this term to describe the SRS of the dwc:decimalLatitude and dwc:decimalLongitude, nor of any verbatim coordinates - use the dwc:geodeticDatum and dwc:verbatimSRS instead. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je použít kód EPSG systému SRS, pokud je znám. V opačném případě použijte řízený slovník pro název nebo kód geodetického bodu, pokud je znám. V opačném případě použijte řízený slovník pro název nebo kód elipsoidu, pokud je znám. Pokud není znám žádný z těchto údajů, použijte hodnotu „nezaznamenáno“. Je také povoleno uvést SRS ve formátu Well-Known-Text, zejména pokud žádný kód EPSG neposkytuje potřebné hodnoty pro atributy SRS. Tento termín nepoužívejte k popisu SRS dwc:decimalLatitude a dwc:decimalLongitude, ani k popisu jakýchkoli přesných souřadnic – místo toho použijte dwc:geodeticDatum a dwc:verbatimSRS. Tento termín má ekvivalent v jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli hodnotu znakového řetězce.",,"La mejor práctica recomendada es usar el código EPSG del SRS, si se conoce. De lo contrario, use un vocabulario controlado para el nombre o código del datum geodésico, si se conoce. De lo contrario, use un vocabulario controlado para el nombre o código del elipsoide, si se conoce. Si no se conoce ninguno de estos, use el valor `no registrado`. También se permite proporcionar el SRS en Well-Known-Text, especialmente si ningún código EPSG proporciona los valores necesarios para los atributos del SRS. No use este término para describir el SRS de dwc:decimalLatitude y dwc:decimalLongitude, ni de ninguna coordenada textual; use dwc:geodeticDatum y dwc:verbatimSRS en su lugar. Este término tiene un equivalente en el espacio de nombres dwciri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser le code EPSG du SRS, s'il est connu. Sinon, utilisez un vocabulaire contrôlé pour le nom ou le code du système de référence géodésique, s'il est connu. Sinon, utilisez un vocabulaire contrôlé pour le nom ou le code de l'ellipsoïde, s'il est connu. Si aucun de ces éléments n'est connu, utiliser la valeur `not recorded` (non documenté). Il est également permis de fournir le SRS en Well-Known-Text, en particulier si aucun code EPSG ne fournit les valeurs nécessaires pour les attributs du SRS. N'utilisez pas ce terme pour décrire le SRS de dwc:decimalLatitude et de dwc:decimalLongitude, ni de coordonnées verbatim - utilisez plutôt dwc:geodeticDatum et dwc:verbatimSRS respectivement. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,"`EPSG:4326`; `GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT for the standard WGS84 Spatial Reference System EPSG:4326); `not recorded`","`EPSG:4326`; `GEOGCS[„GCS_WGS_1984“, DATUM[„D_WGS_1984“, SPHEROID[„WGS_1984“,6378137,298.257223563]], PRIMEM[‚Greenwich‘,0], UNIT[„Degree“,0.0174532925199433]]` (WKT pro standardní prostorový referenční systém WGS84 EPSG:4326); `není zaznamenáno`",,"`EPSG:4326`; `GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT para el Sistema de Referencia Espacial WGS84 estándar EPSG:4326); `no registrado`","`EPSG:4326`; `GEOGCS[""GCS_WGS_1984"", DATUM[""D_WGS_1984"", SPHEROID[""WGS_1984"",6378137,298.257223563]], PRIMEM[""Greenwich"",0], UNIT[""Degree"",0.0174532925199433]]` (WKT pour le WGS84 Spatial Reference System EPSG:4326 standard); `not recorded`",,,,,
footprintWKT,Footprint WKT,Stopa WKT,,,WKT de l'emprise au sol,,,,,,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the dcterms:Location. A dcterms:Location may have both a point-radius representation (see dwc:decimalLatitude) and a footprint representation, and they may differ from each other.","Textová (WKT) reprezentace tvaru (stopa„ geometrie), která definuje dcterms:Location. Položka dcterms:Location může mít jak reprezentaci bodu a poloměru (viz dwc:decimalLatitude), tak reprezentaci stopy, přičemž se mohou navzájem lišit.",,,"Une représentation en Well-Known Text (WKT) de la forme (emprise, géométrie) qui définit la dcterms:Location. Une dcterms:Location peut avoir à la fois une représentation par le centre et le rayon (voir dwc:decimalLatitude) et une représentation de l'emprise au sol, et elles peuvent différer l'une de l'autre.",,,,,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'une IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (the one-degree bounding box with opposite corners at longitude=10, latitude=20 and longitude=11, latitude=21)","`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (ohraničující pole o jednom stupni s protilehlými rohy na zeměpisné délce=10, šířce=20 a zeměpisné délce=11, šířce=21)",,,"`POLYGON ((10 20, 11 20, 11 21, 10 21, 10 20))` (la délimitation d'un degré avec des coins opposés à longitude=10, latitude=20 et longitude=11, latitude=21)",,,,,
formation,Formation,Formace,,,Formation,,,,,,The full name of the lithostratigraphic formation from which the dwc:MaterialEntity was collected.,"Úplný název litostratigrafické formace, ze které byl dwc:MaterialEntity získán.",,,Le nom complet de la formation lithostratigraphique à partir de laquelle la dwc:MaterialEntity a été collectée.,,,,,,,,,,,,,,,,,,,,,,,,,
FossilSpecimen,Fossil Specimen,Fosilní exemplář,,,Spécimen fossile,,,,,化石標本,A preserved specimen that is a fossil.,"Zachovalý exemplář, který je zkamenělinou.",,,Un spécimen fossile en collection .,,,,,,,,,,,,,,,,,,,,,,,,,
genericName,Generic Name,Obecný název,,Nombre genérico,Nom générique,,,,,通用名稱,The genus part of the dwc:scientificName without authorship.,Rodová část dwc:scientificName bez autorství.,,La parte del género en un dwc:scientificName sin la autoría.,La partie générique du dwc:scientificName sans l'autorité.,,,,,,For synonyms the accepted genus and the genus part of the name may be different. The term dwc:genericName should be used together with dwc:specificEpithet to form a binomial and with dwc:infraspecificEpithet to form a trinomial. The term dwc:genericName should only be used for combinations. Uninomials of generic rank do not have a dwc:genericName.,U synonym se může lišit přijímaný rod a rodová část názvu. Termín dwc:genericName by měl být použit společně s dwc:specificEpithet pro vytvoření binomického názvu a s dwc:infraspecificEpithet pro vytvoření trinomického názvu. Termín dwc:genericName by se měl používat pouze pro kombinace. Jednočleny obecného stupně nemají dwc:genericName.,,Para sinónimos el género aceptado y la parte del género del nombre pueden ser diferentes. El elemento dwc:genericName debe ser usado junto al dwc:specificEpithet para formar un binomio y con dwc:infraspecificEpithet para formar un trinomio. El elemento dwc:genericName solo debe ser usado para combinaciones. Uninomiales de rango genérico no tienen un dwc:genericName.,"Pour les synonymes, le genre accepté et la partie générique du nom peuvent être différents. Le terme dwc:genericName doit être utilisé avec dwc:specificEpithet pour former un binôme et avec dwc:infraspecificEpithet pour former un trinôme. Le terme dwc:genericName ne doit être utilisé que pour les combinaisons. Les uninomiaux de rang genre n'ont pas de dwc:genericName.",,,,,,"`Felis` (for scientificName `Felis concolor`, with accompanying values of `Puma concolor` in acceptedNameUsage and `Puma` in genus)","`Felis` (pro vědecký název `Felis concolor`, s doprovodnými hodnotami `Puma concolor` v acceptedNameUsage a `Puma` v rodu)",,"`Felis` (para el scientificName “Felis concolor”, con los valores correspondientes de `Puma concolor` en acceptedNameUsage y `Puma` en genus)","`Felis` (pour le nom scientifique `Felis concolor`, avec les valeurs associées de `Puma concolor` dans acceptedNameUsage et `Puma` dans genus)",,,,,
genus,Genus,Rod,,Género,Genre,,,,,屬,The full scientific name of the genus in which the dwc:Taxon is classified.,"Úplný vědecký název rodu, do kterého je dwc:Taxon zařazen.",,El nombre científico completo del género en el que se clasifica el dwc:Taxon.,Le nom scientifique complet du genre dans lequel le dwc:Taxon est classé.,,,,,,,,,,,,,,,,,,,,,,,,,
geodeticDatum,Geodetic Datum,Geodetické datum,,,Système géodésique,,,,,大地基準,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in dwc:decimalLatitude and dwc:decimalLongitude are based.","Elipsoid, geodetický referenční bod nebo prostorový referenční systém (SRS), na kterém jsou založeny zeměpisné souřadnice uvedené v dwc:decimalLatitude a dwc:decimalLongitude.",,,"L'ellipsoïde, le système de référence géodésique ou le système de référence spatiale (SRS) sur lequel sont basées les coordonnées géographiques données dans dwc:decimalLatitude et dwc:decimalLongitude.",,,,,座標的大地基準。建議使用控制詞彙；若全未知，則填入「未知 (unknown)」。,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `not recorded`. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for a string literal value.","Doporučeným osvědčeným postupem je použít kód EPSG SRS, pokud je znám. V opačném případě použijte řízený slovník pro název nebo kód geodetického podkladu, pokud je znám. V opačném případě použijte řízený slovník pro název nebo kód elipsoidu, je-li znám. Není-li žádný z těchto údajů znám, použijte hodnotu `nezaznamenáno`. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje doslovnou hodnotu řetězce.",,"Se recomienda usar el código EPSG del SRS, si se conoce. De lo contrario, utilice un vocabulario controlado para el nombre o código del datum geodésico, si se conoce. De lo contrario, utilice un vocabulario controlado para el nombre o código del elipsoide, si se conoce. Si no se conoce ninguno de estos, utilice el valor `no registrado`. Este término tiene un equivalente en el espacio de nombres dwciri: que solo permite un IRI como valor, mientras que este término permite un valor literal de cadena.","La pratique optimale recommandée est d'utiliser le code EPSG du SRS, s'il est connu. Sinon, utilisez un vocabulaire contrôlé pour le nom ou le code du système de référence géodésique, s'il est connu. Sinon, utilisez un vocabulaire contrôlé pour le nom ou le code de l'ellipsoïde, s'il est connu. Si aucun de ces éléments n'est connu, utiliser la valeur `not recorded` (non documenté). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
GeologicalContext,Geological Context,Geologická souvislost,,,Contexte géologique,,,,,,"Geological information, such as stratigraphy, that qualifies a region or place.","Geologické informace, jako je stratigrafie, které charakterizují oblast nebo místo.",,,"Information géologique, telle que la stratigraphie, qui qualifie une région ou un lieu.",,,,,,,,,,,,,,,,,,,,,,,,,
geologicalContextID,Geological Context ID,ID geologické souvislosti,,ID del contexto geológico,Identifiant du contexte géologique,,,,,,"An identifier for the set of information associated with a dwc:GeologicalContext (the location within a geological context, such as stratigraphy). May be a global unique identifier or an identifier specific to the data set.","Identifikátor souboru informací spojených s dwc:GeologicalContext (umístění v rámci geologického kontextu, např. stratigrafie). Může to být globální jedinečný identifikátor nebo identifikátor specifický pro danou datovou sadu.",,"Un identificador para el conjunto de la información asociada a un dwc:GeologicalContext (la ubicación dentro de un contexto geológico, tal como estratigrafía). Puede ser un identificador único global o un identificador específico para el conjunto de datos.","Un identifiant pour l'ensemble des informations associées à un dwc:GeologicalContext (l'emplacement dans un contexte géologique, tel que la stratigraphie). Il peut s'agir d'un identifiant unique global (GUI) ou d'un identifiant spécifique à un jeu de données.",,,,,,,,,,,,,,,,,,,,,,,,,
georeferencedBy,Georeferenced By,Georeferencováno od,,,Géoréférencé par,,,,,地理點位紀錄者,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the dcterms:Location.","Seznam (spojený a oddělený) jmen osob, skupin nebo organizací, které určily georeferenci (prostorové zobrazení) pro dcterms:Location.",,,"Une liste (concaténée et séparée) de noms de personnes, de groupes ou d'organisations qui ont déterminé le géoréférencement (représentation spatiale) utilisé pour la dcterms:Location.",,,,,,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `). Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale (` | `). Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
georeferencedDate,Georeferenced Date,Georeferencované datum,,,Date de géoréférencement,,,,,地理點位紀錄日期,The date on which the dcterms:Location was georeferenced.,"Datum, kdy byla dcterms:Location georeferencována.",,,Date à laquelle la dcterms:Location a été géoréférencée.,,,,,,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,"Doporučeným osvědčeným postupem je používat datum, které je v souladu s normou ISO 8601-1:2019.",,La práctica recomendada es utilizar una fecha de acuerdo con ISO 8601-1:2019.,La pratique optimale recommandée est d'utiliser une date conforme à la norme ISO 8601-1:2019.,,,,,,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),`1963-03-08T14:07-06:00` (8. března 1963 v 14:07 a později a před 14:08 v časovém pásmu o šest hodin dříve než UTC); `2009-02-20T08:40Z` (20. února 2009 v 8:40 a později a před 8:41 UTC); `2018-08-29T15:19` (29. srpna 2018 v 15:19 a později a před 15:20 místního času); `1809-02-12` (v rámci dne 12. února 1809); `1906-06` (v měsíci červnu 1906); `1971` (v roce 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (někdy v intervalu od 1. března 2007 v 13:00 UTC do 11. května 2008 v 15:30 UTC); `1900/1909` (někdy v intervalu mezi začátkem roku 1900 a před rokem 1909); `2007-11-13/15` (někdy v intervalu mezi začátkem 13. listopadu 2007 a před 15. listopadem 2007),,`1963-03-08T14:07-06:00` (8 de marzo de 1963 a partir de las 2:07 p. m. y antes de las 2:08 p. m. en la zona horaria seis horas anterior a UTC); `2009-02-20T08:40Z` (20 de febrero de 2009 a partir de las 8:40 a. m. y antes de las 8:41 UTC); `2018-08-29T15:19` (29 de agosto de 2018 a partir de las 3:19 p. m. y antes de las 3:20 p. m. hora local); `1809-02-12` (dentro del día 12 de febrero de 1809); `1906-06` (en el mes de junio de 1906); `1971` (en el año 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (en algún momento dentro del intervalo que comienza el 1 de marzo de 2007 a la 1 p. m. UTC y antes del 11 de mayo de 2008 a las 3:30 p. m. UTC); `1900/1909` (en algún momento dentro del intervalo entre principios del año 1900 y antes del año 1909); `2007-11-13/15` (en algún momento en el intervalo entre principios del 13 de noviembre de 2007 y antes del 15 de noviembre de 2007),"`1963-03-08T14:07-0600` (8 mars 1963 à ou après 14h07 mais avant 14h08 dans le fuseau horaire six heures plus tôt que l'UTC) ; `2009-02-20T08:40Z` (20 février 2009 à ou après 8h40 mais avant 8h41 UTC) ; `2018-08-29T15:19` (29 août 2018 à ou après 15h19 mais avant 15h20 heure locale) ; `1809-02-12` (durant le 12 février 1809) ; `1906-06` (durant le mois de juin 1906) ; `1971` (durant l'année 1971) ;`2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (durant une période comprise entre le 1er mars 2007, 13h UTC, et le 11 mai 2008, 15h30 UTC) ; `1900/1909` (durant une période comprise entre le début de l'année 1900 et la fin de l'année 1909) ; `2007-11-13/15` (durant une période comprise entre le début du 13 novembre 2007 et avant le 15 novembre 2007)",,,,,
georeferenceProtocol,Georeference Protocol,Protokol georeference,,,Protocole de géoréférencement,,,,,地理點位紀錄方法,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.","Popis nebo odkaz na metody použité k určení prostorové stopy, souřadnic a neurčitostí.",,,"Une description ou une référence aux méthodes utilisées pour déterminer l'emprise au sol, les coordonnées et les incertitudes.",,,,,,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
georeferenceRemarks,Georeference Remarks,Poznámky ke georeferenci,,,Remarques sur le géoréférencement,,,,,地理點位紀錄備註,"Comments or notes about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in dwc:georeferenceProtocol.","Komentáře nebo poznámky k určení prostorového popisu, vysvětlující předpoklady, které doplňují nebo jsou v rozporu s předpoklady formalizovanými v metodě uvedené v dwc:georeferenceProtocol.",,"Comentarios o notas sobre la determinación de la descripción espacial, explicando los supuestos realizados en adición o en oposición a los formalizados en el método mencionado en dwc:georeferenceProtocol.","Des commentaires ou des notes sur la définition de la description spatiale, expliquant les hypothèses formulées en plus ou en contradiction avec celles formalisées dans la méthode mentionnée dans dwc:georeferenceProtocol.",,,,,,,,,,,,,,,,,,,,,,,,,
