term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
isLifeStageScopeFullyReported,Is Life Stage Scope Fully Reported,Je rozsah životní fáze plně hlášen,,,,,,,Целевой охват стадий развития представлен полностью,,,"Every dwc:Organism that was included within the life stage scope, and was detected during the dwc:Event, was reported.","Byl nahlášen každý dwc:Organism, který byl zahrnut do rozsahu životní fáze a byl zjištěn během dwc:Event.",,,,,,,"Каждый dwc:Organism, входящий в рамки целевого охвата стадий развития и обнаруженный в ходе dwc:Event, был зарегистрирован.",,,"This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the life stage scope and detected during the dwc:Event were reported, the value should be 'true'. Life stage scope is based on the combination of eco:targetLifeStageScope and eco:excludedLifeStageScope.","Tento termín je relevantní pouze v případě, že dwc:Event používá metody omezeného nebo otevřeného vyhledávání. Pokud byly hlášeny všechny dwc:Organisms zahrnuté do rozsahu životního stadia a zjištěné během dwc:Event, měla by být hodnota ""true"". Rozsah životního stadia je založen na kombinaci eco:targetLifeStageScope a eco:excludedLifeStageScope.",,,,,,,"Этот термин применим только в случае, когда в ходе dwc:Event применяли методы направленного или свободного поиска. Если все dwc:Organism, соответствующие целевому охвату стадий развития и выявленные во время dwc:Event, были учтены, следует указывать значение 'true'. Целевой охват стадий развития описывается с помощью сочетания eco:targetLifeStageScope и eco:excludedLifeStageScope.",,,,,,,,,,,,,
isSamplingEffortReported,Is Sampling Effort Reported,Je hlášeno úsilí o sběru vzorků,,,,,,,Промысловое усилие указано,,,The sampling effort associated with the dwc:Event was reported.,Bylo nahlášeno úsilí při odběru vzorků spojené s událostí dwc:Event.,,,Le taux d'échantillonnage associé au dwc:Event a été documenté.,,,,Промысловое усилие (усилие по отбору проб) связанное с dwc:Event указано.,,,Typically values of effort would be captured under the terms eco:samplingEffortValue and eco:samplingEffortUnit.,Typicky se hodnoty úsilí zachycují pod termíny eco:samplingEffortValue a eco:samplingEffortUnit.,,,,,,,"Как правило, величина усилия приводится с использованием терминов eco:samplingEffortValue и eco:samplingEffortUnit.",,,,,,,,,,,,,
isTaxonomicScopeFullyReported,Is Taxonomic Scope Fully Reported,Je taxonomický rozsah plně hlášen,,,Le Champs Taxonomique est-il Entièrement Répertorié,,,,Приведен ли таксономический охват в полном объеме,,,"Every dwc:Organism that was included within the taxonomic scope, and was detected during the dwc:Event, was reported.","Byl nahlášen každý dwc:Organism, který byl zahrnut do taxonomického rozsahu a byl zjištěn během dwc:Event.",,,Tous les dwc:Organisms inclus dans le champ taxonomique et détectés lors du dwc:Event ont été répertoriés.,,,,"Каждый dwc:Organism, включенный в таксономический охват и выявленный в ходе dwc:Event, был учтён.",,,"This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the taxonomic scope and detected during the dwc:Event were reported, the value should be 'true'. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope.","Tento termín je relevantní pouze v případě, že dwc:Event používá metody omezeného nebo otevřeného vyhledávání. Pokud byly nahlášeny všechny dwc:Organisms zahrnuté do taxonomického rozsahu a zjištěné během dwc:Event, měla by být hodnota „true“. Taxonomický rozsah je založen na kombinaci eco:targetTaxonomicScope a eco:excludedTaxonomicScope.",,,"Ce terme n'est pertinent que si le dwc:Event a utilisé des méthodes de recherche restreinte ou ouverte. Si tous les dwc:Organisms inclus dans le champ taxonomique et détectés pendant le dwc:Event ont été signalés, la valeur doit être « true ». Le champ taxonomique est basé sur la combinaison d'eco:targetTaxonomicScope et eco:excludedTaxonomicScope.",,,,"Этот термин актуален лишь в случае применения во время dwc:Event методов ограниченного или открытого поиска. Если были учтены все dwc:Organism, подпадающие под таксономический охват и выявленные в ходе dwc:Event, следует указать значение «true». Таксономический охват формируется на основе комбинации eco:targetTaxonomicScope и eco:excludedTaxonomicScope.",,,,,,,,,,,,,
isVegetationCoverReported,Is Vegetation Cover Reported,Je vykazován vegetační pokryv,,,Le Couvert Végétal est-il Répertorié,,,,Приведены ли данные об общем проективном покрытии,,,A vegetation cover metric was reported.,Byla zaznamenána metrika vegetačního krytu.,,,Une mesure de la couverture végétale a été rapportée.,,,,Указано значение общего проективного покрытия.,,,Typically values or descriptions of vegetation cover would be captured under the term eco:verbatimSiteDescriptions.,Hodnoty nebo popisy vegetačního krytu se obvykle zachycují pod termínem eco:verbatimSiteDescriptions.,,,"En règle générale, les valeurs ou les descriptions de la couverture végétale sont saisies sous le terme eco:verbatimSiteDescriptions.",,,,"Как правило, значения или описания общего проективного покрытия растительности отражаются в термине eco:verbatimSiteDescriptions.",,,,,,,,,,,,,
materialSampleTypes,Material Sample Types,Typy vzorků materiálů,,,,,,,Типы образцов,,,A list (concatenated and separated) of material sample types collected during the dwc:Event.,Seznam (spojený a oddělený) typů vzorků materiálu odebraných během dwc:Event.,,,,,,,"Список (в форме строки с разделителями) типов образцов, собранных в ходе dwc:Event.",,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"La práctica recomendada es usar un vocabulario controlado y separar los valores múltiples de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемый словарь и разделять несколько значений в списке пробелом, вертикальной чертой, пробелом ( | ). У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
nonTargetTaxa,Non-target Taxa,Necílené taxony,,,Taxons Non-cibles,,,,Нецелевые таксоны,,,A list (concatenated and separated) of taxa reported during the dwc:Event that are outside of the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope).,"Seznam (spojený a oddělený) taxonů nahlášených během dwc:Event, které jsou mimo cílový taxonomický rozsah (kombinace eco:targetTaxonomicScope a eco:excludedTaxonomicScope).",,,Une liste (concaténée et séparée) des taxons recensés lors du dwc:Event qui sont en dehors du champ taxonomique cible (la combinaison de eco:targetTaxonomicScope et eco:excludedTaxonomicScope).,,,,"Список таксонов (в виде строки с разделителями), зарегистрированных во время dwc:Event, которые находятся за пределами целевого таксономического охвата (комбинации eco:targetTaxonomicScope и eco:excludedTaxonomicScope).",,,"This term is meant to allow the full list of taxa that are considered outside of the taxonomic scope and yet were reported in the dataset to be shared. This term is relevant only if a target taxonomic scope is declared and eco:hasNonTargetTaxa is ‘true’. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Non-target taxa (in some disciplines called “bycatch”) can be reported at any taxonomic level. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má umožnit sdílení úplného seznamu taxonů, které jsou považovány za taxony mimo taxonomický rozsah, a přesto byly v souboru údajů uvedeny. Tento termín je relevantní pouze v případě, že je deklarován cílový taxonomický rozsah a eco:hasNonTargetTaxa je ""true"". Taxonomický rozsah je založen na kombinaci eco:targetTaxonomicScope a eco:excludedTaxonomicScope. Necílové taxony (v některých oborech nazývané ""vedlejší úlovky"") lze vykazovat na jakékoli taxonomické úrovni. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"Este término permite compartir la lista completa de taxones considerados fuera del ámbito taxonómico, pero que se reportaron en el conjunto de datos. Este término solo es relevante si se declara un ámbito taxonómico objetivo y eco:hasNonTargetTaxa es ""true"". El ámbito taxonómico se basa en la combinación de eco:targetTaxonomicScope y eco:excludedTaxonomicScope. Los taxones no objetivo (llamados ""captura incidental"" en algunas disciplinas) pueden reportarse en cualquier nivel taxonómico. La mejor práctica recomendada es separar los valores múltiples en una lista con espacio, barra vertical, espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","Ce terme permet de partager la liste complète des taxons qui sont considérés comme n'entrant pas dans le champ taxonomique et qui ont pourtant été signalés dans le jeu de données. Ce terme n'est pertinent que si un périmètre taxonomique est déclaré et que eco:hasNonTargetTaxa est « true ». La portée taxonomique est basée sur la combinaison de eco:targetTaxonomicScope et eco:excludedTaxonomicScope. Les taxons non ciblés (appelés « prises accessoires » dans certaines disciplines) peuvent être déclarés à n'importe quel niveau taxonomique. La pratique optimale recommandée consiste à séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Данный термин предназначен для предоставления полного перечня таксонов, которые входят в целевой таксономический охват исследования, но тем не менее были зарегистрированы в наборе данных. Термин актуален только в случае объявления целевого таксономического охвата и указания в поле eco:hasNonTargetTaxa в значение «true». Таксономический охват определяется комбинацией eco:targetTaxonomicScope и eco:excludedTaxonomicScope. Нетаргетированные таксоны (в некоторых областях называемые «приловом») могут быть указаны на любом таксономическом уровне. Рекомендуемой лучшей практикой является разделение множества значений в списке с помощью пробела, вертикальной черты и пробела ( | ). У этого термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, тогда как данный термин позволяет использовать любое строковое значение.",,,,,,,,,,,,,
protocolDescriptions,Protocol Descriptions,Popisy protokolu,,,Descriptions de Protocole,,,,Описание протокола,,,A detailed description of the methods used during the dwc:Event.,Podrobný popis metod použitých během dwc:Event.,,,Une description détaillée des méthodes utilisées lors du dwc:Event.,,,,"Подробное описание методов, применявшихся во время dwc:Event.",,,"This description should be associated with protocols provided in eco:protocolNames. The description may include deviations from a protocol referred to in eco:protocolReferences. Recommended good practice is to provide information about instruments used, calibration, etc. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).","Tento popis by měl být spojen s protokoly uvedenými v eco:protocolNames. Popis může obsahovat odchylky od protokolu uvedeného v eco:protocolReferences. Doporučenou dobrou praxí je uvést informace o použitých přístrojích, kalibraci atd. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).",,,,,,,"Данное описание должно относиться к протоколам, указанным в eco:protocolNames. Описание может включать отклонения от протокола, на который ссылается eco:protocolReferences. Рекомендуется указывать информацию об использованных инструментах, калибровке и т.д. Рекомендуется разделение нескольких значений в списке с помощью пробела, вертикальной черты и пробела ( | ).",,,,,,,,,,,,,
protocolNames,Protocol Names,Názvy protokolu,,,Noms du Protocol,,,,Наименования протоколов,,,Categorical descriptive names for the methods used during the dwc:Event.,Kategorické popisné názvy metod použitých během dwc:Event.,,,Noms descriptifs catégoriels pour les méthodes utilisées pendant le dwc:Event.,,,,"Названия методик, применявшихся во время dwc:Event.",,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"La práctica recomendada es usar un vocabulario controlado y separar los valores múltiples de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемый словарь и разделять несколько значений в списке пробелом, вертикальной чертой, пробелом ( | ). У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
protocolReferences,Protocol References,Odkazy protokolu,,,Références au Protocole,,,,Ссылки на протоколы,,,The references to the methods used during the dwc:Event.,Odkazy na metody použité během dwc:Event.,,,Les références aux méthodes utilisées pendant le dwc:Event.,,,,"Библиографические ссылки на методы, использованные в процессе dwc:Event.",,,Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ).,Doporučeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ).,,,La pratique optimale recommandée consiste à séparer les différentes valeurs d'une liste par une barre verticale ( | ).,,,,"Рекомендуется разделение нескольких значений в списке с помощью пробела, вертикальной черты и пробела ( | ).",,,,,,,,,,,,,
reportedExtremeConditions,Reported Extreme Conditions,Hlášené extrémní podmínky,,,Conditions Extrêmes Répertoriées,,,,Зарегистрированные экстремальные условия,,,A description of any extreme weather or environmental conditions that may have affected the dwc:Event.,"Popis jakýchkoli extrémních povětrnostních podmínek nebo podmínek prostředí, které mohly ovlivnit událost dwc:Event.",,,Description des conditions météorologiques ou environnementales extrêmes qui ont pu affecter le dwc:Event.,,,,"Описание любых экстремальных погодных или природных условий, которые могли повлиять на dwc:Event.",,,,,,,,,,,,,,,,,,,,,,,,
reportedWeather,Reported Weather,Nahlášené počasí,,,Conditions Météorologiques Répertoriées,,,,Зарегистрированные погодные условия,,,A list of weather or climatic conditions present during the dwc:Event.,"Seznam povětrnostních nebo klimatických podmínek, které se vyskytly během dwc:Event.",,,Liste des conditions météorologiques ou climatiques présentes lors du dwc:Event.,,,,"Список метеорологических условий, имевших место во время dwc:Event.",,,Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.,"Doporučeným osvědčeným postupem je použití schématu kódování klíč:hodnota pro formát výměny dat, jako je JSON.",,La mejor práctica recomendada es utilizar un esquema de codificación clave:valor para un formato de intercambio de datos como JSON.,La pratique optimale recommandée est d'utiliser un schéma d'encodage clé:valeur pour un format d'échange de données tel que JSON.,,,,"Рекомендуемой практикой является использование схемы кодирования key:value для формата обмена данными, например JSON.",,,,,,,,,,,,,
samplingEffortProtocol,Sampling Effort Protocol,Protokol vzorkovacího úsilí,,,Protocole du Taux d'Échantillonnage,,,,,,,A description of or reference (publication or URL) to the methods used to determine the sampling effort.,Popis nebo odkaz (publikace nebo URL) na metody použité k určení intenzity odběru vzorků.,,,Description ou référence (publication ou URL) des méthodes utilisées pour déterminer le taux d'échantillonnage.,,,,,,,"This description should be associated with the values reported in eco:samplingEffortValue and eco:samplingEffortUnit. This is a specialization of eco:protocolDescriptions focused on effort, distinct from the survey method. The effort relates to the intensity of sampling and therefore can assist in interpreting estimates of completeness. This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento popis by měl být spojen s hodnotami uvedenými v eco:samplingEffortValue a eco:samplingEffortUnit. Jedná se o specializaci eco:protocolDescriptions zaměřenou na úsilí, odlišné od metody šetření. Úsilí se vztahuje k intenzitě výběru vzorků, a může proto pomoci při interpretaci odhadů úplnosti. Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakýkoli textový řetězec.",,"Esta descripción debe asociarse con los valores reportados en eco:samplingEffortValue y eco:samplingEffortUnit. Esta es una especialización de eco:protocolDescriptions centrada en el esfuerzo, distinta del método de encuesta. El esfuerzo se relaciona con la intensidad del muestreo y, por lo tanto, puede ayudar a interpretar las estimaciones de completitud. Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.",,,,,,,,,,,,,,,,,,
samplingEffortUnit,Sampling Effort Unit,Jednotka sběru vzorků,,,Unité du Taux d'Échantillonnage,,,,,,,The units associated with the eco:samplingEffortValue.,Jednotky spojené s eco:samplingEffortValue.,,,Les unités associées à la eco:samplingEffortValue.,,,,,,,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"Se recomienda usar un vocabulario controlado. Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемый словарь. У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
samplingEffortValue,Sampling Effort Value,Hodnota sběru vzorků,,,Valeur du Taux d'Échantillonnage,,,,,,,The numeric value for the sampling effort expended during the dwc:Event.,Číselná hodnota úsilí vynaloženého na odběr vzorků během dwc:Event.,,,Valeur numérique correspondant au taux d'échantillonnage appliqué pendant le dwc:Event.,,,,,,,This term is meant to capture the total sampling effort value. To express details of how the effort was determined use eco:samplingEffortProtocol. For compilations it is recommend not to infer effort. An eco:samplingEffortValue must have a corresponding eco:samplingEffortUnit.,"Tento termín má zachytit celkovou hodnotu úsilí při sběru vzorků. Pro vyjádření podrobností o tom, jak bylo úsilí určeno, použijte eco:samplingEffortProtocol. U kompilací se doporučuje neodvozovat úsilí. Hodnota eco:samplingEffortValue musí mít odpovídající eco:samplingEffortUnit.",,,"Ce terme sert à exprimer la valeur totale de l'effort d'échantillonnage. Pour détailler la manière dont cet effort a été déterminé, utilisez eco:samplingEffortProtocol. Pour les compilations, il est recommandé de ne pas déduire l'effort d'échantillonnage. Une eco:samplingEffortValue doit avoir une eco:samplingEffortUnit correspondante.",,,,,,,,,,,,,,,,,
samplingPerformedBy,Sampling Performed By,Sběr vzorků provedl,,,Échantillonnage Réalisé Par,,,,,,,"A person, group, or organization responsible for recording the dwc:Event.","Osoba, skupina nebo organizace odpovědná za záznam dwc:Event.",,,"Une personne, un groupe ou une organisation responsable de l'enregistrement du dwc:Event.",,,,,,,"The sampling dwc:Event could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the organizations or people involved in the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Vzorkování dwc:Event může být na libovolné úrovni hierarchie. V případě vyšší úrovně (nadřazené) dwc:Event zahrňte všechny organizace nebo osoby zapojené do podřízených dwc:Eventů, které přispěly k nadřazenému dwc:Eventu. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"El dwc:Event de muestreo puede estar en cualquier nivel jerárquico. En el caso de un dwc:Event de nivel superior (principal), incluya todas las organizaciones o personas involucradas en los dwc:Events secundarios que contribuyeron al dwc:Event principal. La práctica recomendada es separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","Le dwc:Event d'échantillonnage peut se situer à n'importe quel niveau de la hiérarchie. Dans le cas d'un dwc:Event de niveau supérieur (parent), incluez toutes les organisations ou personnes impliquées dans les dwc:Events enfants qui ont contribué au dwc:Event parent. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans l'ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,,,
siteCount,Site Count,Počet lokalit,,,Nombre de Sites,,,,,,,Total number of individual sites surveyed during the dwc:Event.,Celkový počet jednotlivých lokalit zkoumaných během akce dwc:Event.,,,Nombre total de sites individuels étudiés au cours du dwc:Event.,,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie.",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie.,,,,,,,,,,,,,,,,,
siteNestingDescription,Site Nesting Description,Popis místa hnízdění,,,Description de l'Imbrication des Sites,,,,,,,Textual description of the hierarchical sampling design.,Textový popis hierarchického výběru vzorků.,,,Description textuelle du dispositif hiérarchique d'échantillonnage .,,,,,,,Site refers to the location at which observations are made or samples/measurements are taken. The site can be at any level of hierarchy.,"Místem se rozumí místo, kde se provádějí pozorování nebo odebírají vzorky/měření. Místo může být na jakékoli úrovni hierarchie.",,,Le site fait référence à l'endroit où les observations sont faites ou les échantillons/mesures sont prélevés. Le site peut se situer à n'importe quel niveau de la hiérarchie.,,,,,,,,,,,,,,,,,
targetDegreeOfEstablishmentScope,Target Degree of Establishment Scope,Cílový stupeň rozsahu zavedení,,,Degré d'Implantation Cible,,,,,,,The degrees of establishment of the dwc:Organisms targeted for sampling during the dwc:Event.,Stupně zavedení dwc:Organisms zaměřené na odběr vzorků během dwc:Event.,,,Les degrés d’implantation des dwc:Organisms ciblés pour l'échantillonnage pendant le dwc:Event.,,,,,,,"Recommended best practice is to use controlled value strings from the controlled vocabulary (http://rs.tdwg.org/dwcdoe/) for dwc:degreeOfEstablishment. For details, refer to https://doi.org/10.3897/biss.3.38084. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat pro dwc:degreeOfEstablishment řetězce řízených hodnot z řízeného slovníku (http://rs.tdwg.org/dwcdoe/). Podrobnosti naleznete na https://doi.org/10.3897/biss.3.38084. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"Se recomienda usar cadenas de valores controlados del vocabulario controlado (http://rs.tdwg.org/dwcdoe/) para dwc:degreeOfEstablishment. Para más detalles, consulte https://doi.org/10.3897/biss.3.38084. Se recomienda separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée consiste à utiliser les chaînes de caractères du vocabulaire contrôlé correspondant (http://rs.tdwg.org/dwcdoe/) pour dwc:degreeOfEstablishment. Pour plus de détails, voir https://doi.org/10.3897/biss.3.38084. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемые строковые значения из контроллируемого словаря (http://rs.tdwg.org/dwcdoe/) для параметра dwc:degreeOfEstablishment. Подробности см. по ссылке: https://doi.org/10.3897/biss.3.38084. Рекомендуется разделять несколько значений в списке пробелом, вертикальной чертой, пробелом ( | ). У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
targetGrowthFormScope,Target Growth Form Scope,Rozsah formy cílového růstu,,,Type de Croissance Cible,,,,,,,The growth forms or habits of the dwc:Organisms targeted for sampling during the dwc:Event.,Růstové formy nebo zvyklosti dwc:Organisms zaměřené na odběr vzorků během dwc:Event.,,,Les types de croissance ou les habitudes des dwc:Organisms ciblés pour l'échantillonnage pendant le dwc:Event.,,,,,,,"Recommended best practice is to use a controlled vocabulary and separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"La práctica recomendada es usar un vocabulario controlado y separar los valores múltiples de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемый словарь и разделять несколько значений в списке пробелом, вертикальной чертой, пробелом ( | ). У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
targetHabitatScope,Target Habitat Scope,Cílový rozsah stanoviště,,,Habitat Cible,,,,,,,The habitats targeted for sampling during the dwc:Event.,Stanoviště zaměřená na odběr vzorků během akce dwc:Event.,,,Les habitats ciblés pour échantillonnage pendant le dwc:Event.,,,,,,,"Recommended best practice is to use a controlled vocabulary and separate the values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným postupem je používat řízený slovník a hodnoty v seznamu oddělovat mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"La práctica recomendada es usar un vocabulario controlado y separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri:, que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé et de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans l'ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,,,
