term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant
p026,"contaminant on plants (except parasites, species transported by host/vector)","kontaminant na rostlinách (kromě parazitů, druhů přenášených hostitelem/vektorem)",,"contaminante de plantas (excepto parásitos, especies transportadas por hospedador/vector)",contaminateur de végétaux (sauf les parasites et les organismes transportés par un hôte/vecteur),"식물틀 통한 오염물질(기생동물, 숙주를 통해 옮겨진 종 제외)",,,,,Organisms transported on plant material.,Organismy transportované na rostlinném materiálu.,,Organismos transportados sobre material vegetal.,Organismes transportés sur des végétaux.,식물성 재료에서 옮겨진 유기체들,,,,,"This term excludes organisms carried on contaminant nursery material, seed contaminants, and the material from the timber trade, which SHOULD be classified under their own pathway terms.","Tento výraz nezahrnuje organismy přenášené kontaminujícím školkařským materiálem, kontaminanty osiva a materiálem z obchodu se dřevem, které BY MĚLY být klasifikovány podle podmínek jejich vlastní cesty.",,,"Ce terme exclut les organismes transportés par du matériel de pépinière contaminé, des semences contaminées et du matériel provenant du commerce du bois, qui DEVRAIENT être classés sous leurs propres termes de filière.",,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p027,parasites on plants (including species transported by host and vector),parazité na rostlinách (včetně druhů přenášených hostitelem a přenašečem),,parásitos de plantas (incluyendo especies transportadas por hospedador y vector),parasites de végétaux (y compris les organismes transportés par un hôte/vecteur),식물 기생충,,,,,Parasitic and pathogenic organisms transported with their host or vector plant.,Parazitické a patogenní organismy přenášené spolu s hostitelskou nebo přenašečskou rostlinou.,,Organismos parásitos y patógenos transportados con su hospedador o plantas vectores.,Organismes parasites et pathogènes transportés avec leur plante hôte ou vectrice.,,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p028,seed contaminant,kontaminant osiva,,contaminante de semillas,contaminant de semences,종자 오염물,,,,,Organisms contaminating transported seeds.,Organismy kontaminující přepravovaná semena.,,Organismos contaminantes de semillas transportadas.,Organismes contaminant les semences transportées.,수송된 종자를 오염시키는 유기체,,,,,,,,,,,,,,,"These may be parasites or pathogens of seeds or species that eat seeds, whether intended to be transported or not. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Může se jednat o parazity nebo patogeny semen nebo o druhy, které se živí semeny, ať už jsou, nebo nejsou určena k přepravě. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Il peut s'agir de parasites ou de pathogènes des semences ou d'espèces qui mangent des semences, qu'elles soient destinées à être transportées ou non. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p029,timber trade,obchod se dřevem,,comercio maderero,commerce du bois,목재 교역,,,,,"Contaminants on unprocessed timber, processed wood and wood-derived products.","Kontaminanty v nezpracovaném dřevě, zpracovaném dřevě a výrobcích ze dřeva.",,"Contaminantes en madera no procesada, procesada y productos derivados de madera.","Contaminants sur le bois brut, le bois transformé et les produits dérivés du bois.","가공되지 않은 목재, 가공된 목재, 목재가공품의 오염물들",,,,,"This term excludes packing material and habitat material made from wood, which SHOULD be included under their own terms (""packing material"" and ""transportation of habitat material"").","Tento pojem nezahrnuje obalový materiál a materiál stanoviště vyrobený ze dřeva, které by měly být zahrnuty pod vlastními pojmy (""obalový materiál"" a ""přeprava materiálu stanoviště"").",,,"Ce terme exclut le matériel d'emballage et le matériel d'habitat en bois, qui DEVRAIENT être inclus sous leurs propres termes (""packing material""/matériel d'emballage et ""transportation of habitat material""/transport des matériaux de l'habitat).",,,,,,"Examples include wooden furniture, saw dust and fire wood. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Příkladem je dřevěný nábytek, pilinový prach a palivové dřevo. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Les exemples incluent les meubles en bois, la sciure de bois et le bois de chauffage. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p030,"transportation of habitat material (soil, vegetation, wood etc)","přeprava materiálu stanoviště (půda, vegetace, dřevo atd.)",,"transporte de material del hábitat (suelo, vegetación, madera, etc.)","transport des matériaux de l'habitat (terre, végétation, bois, etc.)",서식지물질이동,,,,,Organisms transported with their habitat material to a new location.,Organismy přenesené s materiálem svého stanoviště na nové místo.,,Organismos transportados con material de su hábitat a un nuevo lugar.,Organismes transportés avec les matériaux de leur habitat vers un nouveau lieu.,서식지의 물질과 같이 새로운 지역으로 옮겨지는 유기체들,,,,,,,,,,,,,,,"Examples include materials such as soil, vegetation, straw and wood chips. Unless these materials are sterilised the organisms can be transported with their habitat to a new location. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Příkladem jsou materiály jako zemina, vegetace, sláma a dřevěné štěpky. Pokud nejsou tyto materiály sterilizovány, mohou být organismy přeneseny na nové místo i se svým stanovištěm. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Il s'agit par exemple de matériaux tels que la terre, la végétation, la paille et les copeaux de bois. Si ces matériaux ne sont pas stérilisés, les organismes peuvent être transportés avec leur habitat vers un nouvel emplacement. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p031,angling/fishing equipment,rybářské vybavení,,equipamiento de pesca,équipement de pêche/pêche à la ligne,낚시 장비,,,,,Aquatic organisms moved between sites on equipment of recreational anglers and professional fishermen.,Vodní organismy se pohybovaly mezi lokalitami na vybavení rekreačních rybářů a profesionálních rybářů.,,Organismos acuáticos movilizados entre sitios sobre equipamiento de pescadores profesionales o aficionados.,Les organismes aquatiques se sont déplacés entre les sites sur l'équipement des pêcheurs à la ligne et des pêcheurs professionnels.,전문낚시꾼이나 취미낚시꾼들의 장비를 통해 장소를 이동하는 수생 유기체들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p032,container/bulk,kontejner/lodní kontejner,,contenedores de carga,conteneur/transport en masse de marchandises,컨테이너/벌크,,,,,Stowaways transported in or on cargo containers or bulk cargo units.,Černí pasažéři přepravovaní v nákladních kontejnerech nebo jednotkách hromadného nákladu nebo na nich.,,Polizones transportados en o sobre contenedores de carga o unidades de carga a granel.,Des passagers clandestins transportés dans ou sur des conteneurs de fret ou des unités de fret de gros.,화물 컨테이너나 유닛에서 밀반입,,,,,,,,,,,,,,,"The difference between this category and others, such as ""hitchhikers on ship/boat"", is that the organism embarked and disembarked from the container rather than the ship. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Rozdíl mezi touto kategorií a ostatními, jako jsou ""černí pasažéři na lodi/člunu"", spočívá v tom, že organismus se nalodil a vylodil z kontejneru, nikoli z lodi. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"La différence entre cette catégorie et d'autres, comme celle des ""hitchhikers on ship/boat"" (passager sur beateau/navire), est que l'organisme embarque et débarque du conteneur plutôt que du bateau. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p033,hitchhikers in or on airplane,černí pasažéři v letadle nebo na palubě letadla,,autostopista sobre o dentro de aeronave,passager clandestin sur ou dans un avion,항공기 편승,,,,,"Organisms that enter airplanes or other aircraft, such as helicopters, and are transported by them to another location.","Organismy, které se dostanou do letadla nebo jiného letadla, např. vrtulníku, a jsou jimi přepraveny na jiné místo.",,"Organismos que ingresan en aviones u otras aeronaves, como helicópteros, y son transportados por ellos a otro lugar.","Organismes qui entrent dans les avions ou d'autres aéronefs, tels que les hélicoptères, et qui sont transportés par ces derniers vers un autre endroit.","비행기, 또는 헬리콥터와 같은 항공기에 들어가 다른지역으로 옮겨지는 유기체",,,,,,,,,,,,,,,This term does not apply to organisms that embarked in containers that were subsequently loaded onto an aircraft. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,"Tento termín se nevztahuje na organismy, které byly naloženy v kontejnerech, jež byly následně naloženy do letadla. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,Ce terme ne s'applique pas aux organismes embarqués dans des conteneurs qui ont ensuite été chargés dans un avion. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p034,hitchhikers on ship/boat (excluding ballast water and hull fouling),černí pasažéři na lodi/člunu (kromě balastní vody a znečištění trupu),,autostopista sobre embarcación (excluyendo agua de lastre y organismos adheridos al casco),passager clandestin sur un navire/bateau (à l'exclusion des eaux de ballast et de la contamination de la coque),배/선박 편승,,,,,Organisms that enter directly onto boats or ships and are transported by them to another location.,"Organismy, které se dostanou přímo na lodě nebo čluny a jsou jimi přepravovány na jiné místo.",,Organismos que ingresan directamente sobre embarcaciones y son transportados por ellas a otro lugar.,Organismes qui entrent directement dans les bateaux ou les navires et sont transportés par eux vers un autre endroit.,보트나 선박에 직접들어가 다른지역으로 옮겨지는 유기체들,,,,,,,,,,,,,,,"This term does not apply to organisms that embarked in containers that are subsequently loaded onto the ship, nor to contaminants of products loaded onto the ship. The term is intended for organisms that directly interact with the boat or ship. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Tento pojem se nevztahuje na organismy, které se nalodily v kontejnerech, jež byly následně naloženy na loď, ani na kontaminanty produktů naložených na loď. Tento termín je určen pro organismy, které přímo přicházejí do styku s lodí nebo plavidlem. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Ce terme ne s'applique pas aux organismes embarqués dans des conteneurs qui sont ensuite chargés sur le navire, ni aux contaminants des produits chargés sur le navire. Le terme s'applique aux organismes qui interagissent directement avec le bateau ou le navire. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p035,machinery/equipment,stroje/zařízení,,maquinaria/equipamiento,machinerie/équipement,중장비/장비류,,,,,Organisms carried on the surfaces of or within heavy machinery and equipment.,Organismy přenášené na povrchu nebo uvnitř těžkých strojů a zařízení.,,Organismos acarreados sobre las superficies o dentro de maquinaria pesada y equipamiento.,Organismes transportés à la surface ou à l'intérieur de machines et autres équipements lourds.,중장비나 기계류 표면에서 옮겨지는 유기체,,,,,,,,,,,,,,,"This includes military equipment, farm machinery and manufacturing equipment. This term does not include products carried by vehicles. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Patří sem vojenská technika, zemědělské stroje a výrobní zařízení. Tento pojem nezahrnuje výrobky přepravované vozidly. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Cela inclut les équipements militaires, les machines agricoles et les équipements de production. Ce terme n'inclut pas les produits transportés par les véhicules. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p036,people and their luggage/equipment (in particular tourism),lidé a jejich zavazadla/vybavení (zejména v cestovním ruchu),,personas y su equipaje/equipamiento (en particular turismo),personnes et leurs bagages/équipements (en particulier les touristes),인간/수화물(관광),,,,,Organisms transported on people and/or their personal luggage.,Organismy přepravované na lidech a/nebo jejich osobních zavazadlech.,,Organismos transportados sobre las personas o su equipaje personal.,Organismes transportés sur des personnes et/ou leurs bagages personnels.,사람들이나 수화물을 통해 옮겨지는 유기체,,,,,"This term excludes recreational angling equipment, which SHOULD be classified under its own term (""angling/fishing equipment"").","Tento pojem nezahrnuje vybavení pro rekreační rybolov, které by mělo být zařazeno pod samostatný pojem (""rybářské vybavení"").",,,"Ce terme exclut les équipements de pêche de loisir, qui DOIVENT être classés sous leur propre terme (""angling/fishing equipment (équipements de pêche)"").",,,,,,Examples include organisms transported by tourists. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Příkladem jsou organismy přepravované turisty. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Les organismes transportés par les touristes en sont un exemple. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p037,"organic packing material, in particular wood packaging","organický obalový materiál, zejména dřevěné obaly",,"material orgánico de embalaje, en particular embalaje de madera","matériau d'emballage organique, notamment en bois","유기적 포장재료, 특히 목재 포장",,,,,"Organic material, particularly unprocessed plant material that is used to pack transported goods.","Organický materiál, zejména nezpracovaný rostlinný materiál, který se používá k balení přepravovaného zboží.",,"Material orgánico, particularmente material vegetal no procesado que es utilizado para embalar mercancías transportadas.","Matière organique, en particulier la matière végétale non traitée, utilisée pour emballer les marchandises transportées.","유기적 재료들, 특히 운송품을 포장할 때 사용되는 비처리 식물채료",,,,,,,,,,,,,,,"Examples include woodern pallets, boxes, bags and baskets. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Příkladem jsou dřevěné palety, krabice, tašky a koše. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Il s'agit par exemple de palettes en bois, de boîtes, de sacs et de paniers. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p038,ship/boat ballast water,balastní voda z lodí/člunů,,agua de lastre de embarcación,eau de ballast des bateaux/navires,배/선박 평형수,,,,,Organisms transported within the water pumped into boats and ships to provide ballast.,Organismy přenášené ve vodě čerpané do lodí a člunů jako zátěž.,,Organismos transportados en el agua que es bombeada a embarcaciones para proporcionar lastre.,Organismes transportés dans l'eau pompée dans les bateaux et les navires pour servir de lest.,선박의 평형수로 사용 하는 물을 통해 옮겨지는 유기체들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p039,ship/boat hull fouling,zanášení trupu lodi/člunu,,organismos adheridos a casco de embarcación,encrassement de coque de bateau,배/선박 선체 부착물,,,,,Organisms that attach themselves to the subsurface hull of boats and ships.,"Organismy, které se přichycují k trupu lodí a člunů pod úrovní hladiny.",,Organismos que se adhieren a la superficie del casco de las embarcaciones.,Organismes qui se fixent sur la coque des bateaux et des navires.,선박의 선체에 부착된 유기체들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p040,"vehicles (car, train, etc.)","vozidla (auto, vlak atd.)",,"vehículos (automóvil, tren, etc.)","véhicules (voiture, train, etc.)",이동수단,,,,,"Other vehicle hitchhikers that have been unintentionally dispersed, but are not covered by other terms.","Ostatní černí pasažéři vozidel, kteří byli neúmyslně rozšířeni, ale nevztahují se na ně jiné pojmy.",,"Otros autostopistas sobre vehículos, que han sido dispersados de manera no intencional, pero que no están cubiertos por otros términos.","Les autres organismes passagers de véhicules qui ont été dispersés involontairement, mais qui ne sont pas couverts par d'autres termes.",다른 용어에 부합하지 않고 의도적으로 확산된 것은 아니지만 기타 이동수단에 의해 옮겨진,,,,,,,,,,,,,,,These organisms may be carried on or within the vehicle. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Tyto organismy mohou být přepravovány na vozidle nebo uvnitř vozidla. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Ces organismes peuvent être transportés sur ou dans le véhicule. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p041,other means of transport,jiné dopravní prostředky,,otros medios de transporte,autre moyen de transport,기타이동수단,,,,,A catch-all term for any transport related dispersal that is not covered in other terms.,"Souhrnný termín pro jakýkoli způsob šíření v souvislosti s dopravou, který není zahrnut v jiných termínech.",,Un término general para cualquier transporte relacionado con la dispersión que no esté cubierto en otros términos.,Un terme fourre-tout pour toute dispersion liée au transport qui n'est pas couverte par d'autres termes.,다른 용어에 부합하지 않는 기타 모든 이동수간과 관련된 확산을 아우르는 용어,,,,,,,,,,,,,,,"Examples include fouling from offshore oil and gas platforms, offshore renewable energy sites (such as wind farms, pipelines, cable transport, etc.) See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Los ejemplos incluyen incrustaciones provenientes de plataformas petroleras y de gas en alta mar, sitios de energía renovable en alta mar (como parques eólicos, tuberías, transporte por cable, etc.). Véase también Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Des exemples incluent la pollution issues des plateformes pétrolières et gazières offshore, des sites d'énergie renouvelable offshore (tels que les parcs éoliens, les pipelines, le transport de câbles, etc.). Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p042,interconnected waterways/basins/seas,propojené vodní cesty/povodí/moře,,vías navegables/cuencas/mares interconectados,voies navigables/bassins/mers interconnectés,연결된 수로/유역/바다,,,,,Organisms that dispersed through artificial waterways created to connect previosuly unconnected water bodies.,"Organismy, které se rozšířily prostřednictvím umělých vodních toků vytvořených za účelem propojení dříve nespojených vodních ploch.",,Organismos que se dispersaron a través de vías navegables artificiales creadas para conectar cuerpos de agua previamente no conectados.,Organismes qui se sont dispersés dans les voies d'eau artificielles créées pour relier des masses d'eau auparavant non connectées.,전에 이어지지 않은 수로를 연결하기 위해 형성된 인공 수로를 통해 확산된 유기체들,,,,,"Organisms transported along these corridors in ballast or as hull fouling SHOULD be categorised under the ""ship/boat ballast water"" or ""ship/boat hull fouling"" terms.","Organismy přepravované těmito koridory v balastní vodě nebo jako znečištění trupu by měly být zařazeny do kategorie ""balastní voda z lodí/člunů"" nebo ""znečištění trupu lodí/člunů"".",,,"Les organismes transportés le long de ces couloirs dans les eaux de ballast ou dans les salissures de la coque DEVRAIENT être classés dans les catégories ""eaux de ballast du navire/du bateau"" ou ""salissures de la coque du navire/du bateau"".",,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p043,tunnels and land bridges,tunely a pozemní mosty,,túneles y puentes terrestres,tunnels et ponts terrestres,터널 및 교량,,,,,"Unintentional dispersal by organisms using artificial tunnels, bridges, roads and railways.","Neúmyslné rozšíření organismů pomocí umělých tunelů, mostů, silnic a železnic.",,"Dispersión de organismos no intencional utilizando túneles artificiales, puentes, calles y vías férreas.","Dispersion involontaire par des organismes utilisant des tunnels artificiels, des ponts, des routes et des voies ferrées.","인공 터널, 교각, 도로나 철통을 통한 의도적이지 않은 확산",,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p044,natural dispersal across borders of invasive alien organisms,přirozené šíření invazních cizích organismů přes hranice,,dispersión natural a través de fronteras de organismos exóticos invasores,dispersion naturelle d'organismes exotiques envahissants à travers les frontières,침입외래생물의 국외 확산,,,,,Dispersal of organisms to new regions by natural dispersal from regions in which they are alien.,"Šíření organismů do nových oblastí přirozeným šířením z oblastí, kde jsou cizí.",,Dispersión de organismos a nuevas regiones por dispersión natural desde regiones en las cuales son exóticos.,Dispersion d'organismes vers de nouvelles régions par dispersion naturelle à partir de régions dans lesquelles ils sont étrangers.,외래종이 새로운 지역으로 확산,,,,,,,,,,,,,,,"These are alien species that have previously been introduced through one of these pathways: release in nature, escape from confinement, transport-contaminant, transport-stowaway, or corridor. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Se trata de especies exóticas que se han introducido previamente a través de una de estas vías: liberación en la naturaleza, escape de un confinamiento, transporte-contaminante, transporte-polizón o corredor. Véase también Harrower et al., 2017. http://nora.nerc.ac.uk/id/eprint/519129","Cela désigne les espèces exotiques qui ont déjà été introduites par l'une des voies suivantes : libération dans la nature, échappée de confinement, contamination dans les transports, voyage clandestins dans les transports ou utilisation de couloirs. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p045,release in nature,vypuštění do přírody,,liberado en la naturaleza,relâchement dans la nature,방출,,,,,Organisms transported and released by humans in a (semi)natural environment with the intention that they should live there without further human aid.,"Organismy přenesené a vypuštěné člověkem do (polo)přirozeného prostředí se záměrem, aby tam žily bez další lidské pomoci.",,Organismos transportados y liberados por el ser humano en un ambiente (semi)natural con la intención de que sobrevivan allí sin ninguna otra ayuda humana.,Organismes déplacés et relâchés par l'Homme dans un environnement (semi-)naturel dans l'intention qu'ils y vivent par la suite sans aide humaine.,추가적인 개입없이 그곳에 살아야한다는 의도로 인간이 (반)자연적 환경으로 옮기거나 방출한 유기체들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p046,escape from confinement,útěk ze zajetí,,escape de confinamiento,fuite de confinement,탈출,,,,,"Organisms intentionally transported by humans and intended to be kept in captivity or cultivation, but having inadvertently escaped from human control.","Organismy záměrně přepravované člověkem a určené k chovu v zajetí nebo ke kultivaci, které se však neúmyslně vymkly lidské kontrole.",,"Organismos transportados intencionalmente por el ser humano con la intención de que sean mantenidos en cautiverio o cultivados, pero que han escapado inadvertidamente del control humano.","Organismes transportés intentionnellement par l'humain et destinés à être gardés en captivité ou cultivés, mais qui ont échappé par accident au contrôle de l'Homme.",인간이 사육하거나 재배할 목적으로 들여왔으나 부주의로 인간의 통제를 벗어난 유기체들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p047,transport-contaminant,transport-contaminant,,transporte contaminante,contamination lors du transport,수송중오염물,,,,,An umbrella term for all species transported as contaminants in other products.,,,Un término general para todas las especies transportadas como contaminantes en otros productos.,Un terme générique désignant toutes les espèces transportées en tant que contaminants dans d'autres produits.,,,,,,,,,,,,,,,,An alien species is a contaminant if it had a trophic or biotic relationship to organisms or items being transported and was to some extent dependent on them for survival. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,"Cizí druh je kontaminantem, pokud měl trofický nebo biotický vztah k přepravovaným organismům nebo předmětům a byl na nich do určité míry závislý z hlediska přežití. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,Une espèce exotique est un contaminant si elle a une relation trophique ou biotique avec les organismes ou les objets transportés et qu'elle en dépend dans une certaine mesure pour sa survie. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p048,transport-stowaway,transport-stowaway,,polizón en transporte,passager clandestin,수송중밀반입,,,,,"An umbrella term for all species transported by riding on forms of transport where the organism has a direct interaction with the transport and is not merely carried as part of, or a contaminant of cargo.","Souhrnný termín pro všechny druhy přepravované na dopravních prostředcích, kde organismus přímo interaguje s dopravou a není pouze přepravován jako součást nákladu nebo jeho kontaminant.",,"Un término general para todas las especies transportadas sobre medios de transporte, donde el organismo tiene una interacción directa con el transporte y no es meramente acarreado como parte o contaminante del cargo.",Terme générique désignant toutes les espèces transportées par des moyens de transport où l'organisme a une interaction directe avec le transport et n'est pas simplement transporté en tant que partie ou contaminant de la cargaison.,유기체가 운송 수단과 직접적인 상호작용을 하고 단순히 화물의 일부 또는 오염물로 운반되지 않는 운송 형태를 타고 운반되는 모든 종을 포괄하는 용어,,,,,,,,,,,,,,,A stowaway has no trophic or biotic relationship to the organisms or items being transported. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Černý pasažér nemá žádný trofický ani biotický vztah k přepravovaným organismům nebo předmětům. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Un passager clandestin n'a aucune relation trophique ou biotique avec les organismes ou les objets transportés. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p049,corridor,koridor,,corredor,couloir,통로,,,,,"Infrastructure, such as bridges, tunnels and canals have removed natural barriers to dispersal and allowed a species to move into a novel location.","Infrastruktura, jako jsou mosty, tunely a kanály, která odstraňuje přirozené překážky šíření a umožňuje druhům přesunout se na nové místo.",,"Infraestructuras como puentes, túneles y canales que han eliminado las barreras naturales a la dispeción y han permitido que una espevie se traslade a un lugar nuevo.","Les infrastructures, telles que les ponts, les tunnels et les canaux, ont éliminé les barrières naturelles à la dispersion et ont permis à une espèce de s'installer dans un nouvel endroit.",교각이나 터널 같은 기간시설로 인해 확산을 막는 자연의 장애물이 없어져 새로운 지역으로 이동함,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p050,unaided,bez lidské pomoci,,,sans assistance,자력,,,,,"Organisms that spread by natural dispersal, without action or assistance by humans, from regions in which they are also alien.","Organismy, které se šíří přirozeným šířením, bez zásahu nebo pomoci člověka, z oblastí, v nichž jsou rovněž cizí.",,"Organismos que se prtopagan por dispersión natural, sin acción o asistencia por humanos, desde regiones donde ellos son tambien extraños.","Organismes qui se propagent par dispersion naturelle, sans action ou aide de l'homme, à partir de régions dans lesquelles ils sont également exotique.","외래종이던 지역들에서 인간의 개입이나, 도움 없이 자연적 확산을 통해 퍼진 유기체들",,,,,,,,,,,,,,,The term refers to secondary dispersal from an area where the taxon is also alien. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,"Tento termín se vztahuje na sekundární šíření z oblasti, kde je taxon rovněž cizí. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,Ce terme fait référence à la dispersion secondaire à partir d'une zone où le taxon est également exotique. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
