term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
contactDetailValue,Contact Detail Value,Hodnota detailu obsahu,,,Valeur des Coordonnées de Contact,,,,,,"The value of the contact detail, such as the phone number or email address.","Hodnota údaje o kontaktu, například telefonní číslo nebo e-mailová adresa.",,,"La valeur des coordonnées du contact, comme le numéro de téléphone ou l'adresse électronique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biogeographicRealm,Biogeographic Realm,Biogeografická oblast,,,Écozone,,,,,,"The broadest biogeographic division of Earth's land and marine surface, based on distributional patterns of terrestrial and marine organisms.",Nejširší biogeografické rozdělení zemské pevniny a mořského povrchu na základě vzorců rozšíření suchozemských a mořských organismů.,,,"La division biogéographique la plus vaste de la surface terrestre et marine de la Terre, basée sur les schémas de répartition des organismes terrestres et marins.",,,,,,,,,,,,,,,,"This term may commonly be used in a biogeographic hierarchy above marineProvince (marine only), ecoregion and ecosystem. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ","Tento termín může být běžně používán v biogeografické hierarchii nad mořskou provincií (pouze mořská), ekoregionem a ekosystémem. Doporučuje se používat řízené slovníky, například ty, které přijal Světový fond na ochranu přírody (WWF) / Global 200 (Olson et at. 1998). ",,,"Ce terme peut être couramment utilisé dans une hiérarchie biogéographique au-dessus de marineProvince (marin uniquement), écorégion et écosystème. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998). ",,,,,,,,,,,,,,,
biome,Biome,Biom,,,Biome,,,,,,A biogeographical unit consisting of a biological community that has formed in response to the physical environment in which they are found and a shared regional climate.,"Biogeografická jednotka tvořená biologickým společenstvím, které vzniklo v reakci na fyzikální prostředí, v němž se vyskytuje, a na společné regionální klima.",,,Unité biogéographique composée d'une communauté biologique qui s'est formée en réponse à l'environnement physique dans lequel elle se trouve et à un climat régional commun.,,,,,,,,,,,,,,,,"This property can be used to record terrestrial, freshwater and marine biomes. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998). ","Tuto vlastnost lze použít k záznamu suchozemských, sladkovodních a mořských biomů. Doporučuje se používat řízené slovníky, například ty, které přijal Světový fond na ochranu přírody (WWF) / Global 200 (Olson et at. 1998). ",,,"Cette propriété peut être utilisée pour identifier les biomes terrestres, d'eau douce et marins. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998). ",,,,,,,,,,,,,,,
biomeType,Biome Type,Typ Biomu,,,Type de Biome,,,,,,A top level classification of the type of biome from which objects were collected or where an event took place.,"Klasifikace nejvyšší úrovně typu biomu, z něhož byly předměty shromážděny nebo kde se událost odehrála.",,,Une classification de haut niveau du type de biome dans lequel des objets ont été collectés ou dans lequel un événement a eu lieu.,,,,,,,,,,,,,,,,"The biomeType is positioned at a level between the biosphere (the global sum of all ecosystems on Earth) and the more detailed terrestrial, marine and freshwater biomes. The latter should be recorded using the EcologicalContext.biome property.","BiomeType je umístěn na úrovni mezi biosférou (globální souhrn všech ekosystémů na Zemi) a podrobnějšími suchozemskými, mořskými a sladkovodními biomy. Ty by měly být zaznamenány pomocí vlastnosti EcologicalContext.biome.",,,"Le biomeType se situe à un niveau intermédiaire entre la biosphère (la somme globale de tous les écosystèmes de la Terre) et les biomes plus détaillés au niveau terrestres, marins et dulçaquicoles. Ces derniers doivent être répertoriés à l'aide de la propriété EcologicalContext.biome.",,,,,,,,,,,,,,,
bioregion,Bioregion,Bioregion,,,Biorégion,,,,,,"An ecologically and geographically defined area that is smaller than a biogeographic realm, but larger than an ecoregion or an ecosystem.","Ekologicky a geograficky vymezená oblast, která je menší než biogeografická oblast, ale větší než ekoregion nebo ekosystém.",,,"Une zone écologiquement et géographiquement définie qui est plus petite qu'une écozone, mais plus grande qu'une écorégion ou un écosystème.",,,,,,,,,,,,,,,,"This is analagous with the marine province concept for marine regions. It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998), from which this concept originated. ","To je obdoba konceptu mořské provincie pro mořské regiony. Doporučuje se používat řízené slovníky, jako jsou slovníky přijaté Světovým fondem na ochranu přírody (WWF) / Global 200 (Olson et at. 1998), z nichž tento koncept vychází. ",,,"Ce concept est analogue à celui des provinces marines pour les régions marines. Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998), à l'origine de ce concept. ",,,,,,,,,,,,,,,
ecoregion,Ecoregion,Ekoregion,,,Écorégion,,,,,,"An ecologically and geographically defined area that is smaller than a bioregion, which in turn is smaller than a biogeographic realm. Ecoregions cover relatively large areas of land or water, and contain characteristic, geographically distinct assemblages of natural communities and species.","Ekologicky a geograficky vymezená oblast, která je menší než bioregion, který je zase menší než biogeografická oblast. Ekoregiony pokrývají relativně velké plochy souše nebo vody a obsahují charakteristická, geograficky odlišná společenstva přírodních společenstev a druhů.",,,"Une zone écologiquement et géographiquement définie qui est plus petite qu'une biorégion, elle-même plus petite qu'un domaine biogéographique. Les écorégions couvrent des zones relativement vastes de terre ou d'eau et contiennent des assemblages caractéristiques et géographiquement distincts de communautés et d'espèces.",,,,,,,,,,,,,,,,It is recommended to use controlled vocabularies such as those adopted by the World Wildlife Fund (WWF) / Global 200 (Olson et at. 1998).,"Doporučuje se používat řízené slovníky, jako jsou ty, které přijal Světový fond na ochranu přírody (WWF) / Global 200 (Olson et at. 1998).",,,Il est recommandé d'utiliser des vocabulaires contrôlés tels que ceux adoptés par le World Wildlife Fund (WWF) / Global 200 (Olson et al. 1998).,,,,,,,,,,,,,,,
ecosystem,Ecosystem,Ekosystém,,,Écosystème,,,,,,"A specific kind of ecological classification that considers all four elements of the definition of ecosystems: a biotic component, an abiotic complex, the interactions between and within them, and the physical space that they occupy.","Specifický druh ekologické klasifikace, který zohledňuje všechny čtyři prvky definice ekosystémů: biotickou složku, abiotický komplex, interakce mezi nimi a uvnitř nich a fyzický prostor, který zaujímají.",,,"Un mode spécifique de classification écologique qui prend en compte les quatre éléments de la définition des écosystèmes : une composante biotique, un complexe abiotique, les interactions entre eux et au sein de ceux-ci, et l'espace physique qu'ils occupent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habitat,Habitat,Stanoviště,,,Habitat,,,,,,A description of the type of environment in which an organism lives.,"Popis typu prostředí, ve kterém organismus žije.",,,Une description du type d'environnement dans lequel vit un organisme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventName,Event Name,Název události,,,Intitulé de l'événement,,,,,,The name commonly used to identify or refer to the event.,Název běžně používaný k identifikaci nebo označení události.,,,La dénomination communément utilisée pour identifier l'événement ou s'y référer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasEcologicalContext,Has Ecological Context,Má ekologický kontext,,,A pour Contexte Écologique,,,,,,This property refers to one or more related instances of the EcologicalContext class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy EcologicalContext.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe EcologicalContext.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasGeographicContext,Has Geographic Context,Má geografický kontext,,,A pour Contexte Géographique,,,,,,This property refers to one or more related instances of the GeographicContext class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy GeographicContext.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe GeographicContext.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasParentEvent,Has Parent Event,Má nadřazenou událost,,,A pour Événement Père,,,,,,This property refers to one or more related parent instances of the Event class.,Tato vlastnost odkazuje na jednu nebo více souvisejících nadřazených instancí třídy Událost.,,,Cette propriété fait référence à une ou plusieurs instances parentales de la classe Event.,,,,,,This term should only contain Events that can be considered to be a parent of the current instance.,"Tento termín by měl obsahovat pouze události, které lze považovat za nadřazené aktuální instanci.",,,Ce terme ne doit contenir que les Events qui peuvent être considérés comme des parents de l'instance considérée.,,,,,,,,,,,,,,,,,,,,,,,,,
hasPersonRole,Has Person Role,Má roli osoby,,,A pour Rôle d'une Personne,,,,,,This property refers to one or more related instances of the PersonRole class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy PersonRole.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe PersonRole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,Region,Region,,,Région,,,,,,The name of a spatial region or named place of any size within an individual or multiple administrative areas.,Název prostorového regionu nebo pojmenovaného místa libovolné velikosti v rámci jedné nebo více správních oblastí.,,,Le nom d'une aire spatiale ou d'un lieu nommé de n'importe quelles dimensions à l'intérieur d'une ou de plusieurs zones administratives.,,,,,,,,,,,,,,,,"Recommended best practice is to use this field in situations where the administrative location fields (country, stateProvince, county, etc.) provide insufficient description. For geological collections examples include basins, provinces, and fossil deposits.","Doporučeným postupem je použít toto pole v situacích, kdy pole pro administrativní umístění (země, stát, provincie, kraj atd.) neposkytují dostatečný popis. U geologických sbírek jsou příkladem pánve, provincie a naleziště zkamenělin.",,,"La pratique optimale recommandée est d'utiliser ce champ dans les situations où les champs de localisation administrative (country, stateProvince, county, etc.) fournissent une description insuffisante. Pour les collections géologiques, on peut citer les bassins, les provinces et les gisements de fossiles.",,,,,,"Multi-country: `North European Plain`, Multi-state/Province: `Pacific Northwest`, Waterbody: `Southern`, Geological basins and provinces: `Michigan Basin`, `Mazon Creek`, `Bundenbach`","Více zemí: Severoevropská nížina"", Více států/provincie: ""Tichomořský severozápad"", Vodní útvar: ""Jižní"", Geologické pánve a provincie: `Michigan Basin`, `Mazon Creek`, `Bundenbach`",,,"Multi-pays : `Plaine d'Europe du Nord`, Multi-états/Province : `Pacific Northwest`, Étendue d'eau : `Southern`, Bassins et provinces géologiques : `Michigan Basin`, `Mazon Creek`, `Bundenbach`",,,,,
waterBodyType,Waterbody Type,Typ vodní plochy,,,Type d'Étendue d'Eau,,,,,,A term that indicates the aquatic order of a waterbody.,"Termín, který označuje vodní řád vodního útvaru.",,,Un terme qui indique le type d'une masse d'eau.,,,,,,,,,,,,,,,,"Recommendation is to use a controlled vocabulary, such as those fuind at https://www.usgs.gov/mission-areas/water-resources/science/types-water and https://sciencetrends.com/types-bodies-water-complete-list/.","Doporučujeme používat řízený slovník, například na stránkách https://www.usgs.gov/mission-areas/water-resources/science/types-water a https://sciencetrends.com/types-bodies-water-complete-list/.",,,"Il est recommandé d'utiliser un vocabulaire contrôlé, tel que ceux trouvés sur https://www.usgs.gov/mission-areas/water-resources/science/types-water et https://sciencetrends.com/types-bodies-water-complete-list/.",,,,,,,,,,,,,,,
supergroup,Supergroup,Nadskupina,,,Supergroupe,,,,,,The full name of the lithostratigraphic supergroup from which the cataloged item was collected.,"Úplný název litostratigrafické nadskupiny, ze které byla katalogizovaná položka odebrána.",,,Nom complet du supergroupe lithostratigraphique dans lequel la ressource cataloguée a été prélevée.,,,,,,A supergroup is a formal assemblage of related or superposed groups or of groups and formations. Such units have proved useful in regional and provincial syntheses. Supergroups should be named only where their recognition serves a clear purpose.,"Nadskupina je formální seskupení příbuzných nebo nadřazených skupin nebo skupin a útvarů. Tyto jednotky se ukázaly jako užitečné při regionálních a provinčních syntézách. Nadskupiny by měly být pojmenovány pouze v případech, kdy jejich rozpoznání slouží jasnému účelu.",,,"Un supergroupe est un assemblage formalisé de groupes liés ou superposés, ou de groupes et de formations. Ces unités se sont révélées utiles dans les synthèses régionales et provinciales. Les supergroupes ne doivent être nommés que lorsque leur définition répond à un objectif concret.",,,,,,Recommended vocabulary. At time of inclusion this term is in progress of being included as part of dwc tdwg/dwc#234,Doporučený slovník. V době zařazení se tento termín připravuje k zařazení jako součást dwc tdwg/dwc#234,,,"Vocabulaire recommandé. Au moment de la rédaction, ce terme est en cours d'inclusion dans le dwc tdwg/dwc#234",,,,,,,,,,,,,,,
identifierSource,Identifier Source,Zdroj identifikátoru,,,Source de l'Identifiant,,,,,,The source or creator of the identifier.,Zdroj nebo původce identifikátoru.,,,La source ou le créateur de l'identifiant.,,,,,,,,,,,,,,,,"This term refers to the organisation, framework, software or database that minted the identifier represented in the identifier property.","Tento termín označuje organizaci, rámec, software nebo databázi, která vytvořila identifikátor reprezentovaný ve vlastnosti identifikátoru.",,,"Ce terme fait référence à l'organisation, au dispositif, au logiciel ou à la base de données qui a créé l'identifiant représenté dans la propriété identifier.",,,,,,,,,,,,,,,
identifierType,Identifier Type,Typ identifikátoru,,,Type d'Identifiant,,,,,,The type and format of the value in the identifier field.,Typ a formát hodnoty v poli identifikátoru.,,,Le type et le format de la valeur du champ identifier.,,,,,,,,,,,,,,,,This property should be used to help people and software understand how the identifier can be used (e.g. whether it's a resolvable IRI) and validate the identifier based on format and composition (e.g. a valid UUID).,"Tato vlastnost by měla pomoci lidem a softwaru pochopit, jak lze identifikátor použít (např. zda se jedná o rozlišitelný IRI), a ověřit identifikátor na základě formátu a složení (např. platný UUID).",,,"Cette propriété doit être utilisée pour aider les personnes et les logiciels à comprendre comment l'identifiant peut être utilisé (par exemple, s'il s'agit d'un IRI résoluble) et à valider l'identifiant sur la base de son format et de sa composition (par exemple, un UUID valide).",,,,,,,,,,,,,,,
identifierValue,Identifier,Identifikátor,,,Identifiant,,,,,,"A textual or numeric identifier, acronym or IRI that provides an unambiguous reference for an entity within a given context.","Textový nebo číselný identifikátor, akronym nebo IRI, který poskytuje jednoznačný odkaz na entitu v daném kontextu.",,,"Un identifiant textuel ou numérique, un acronyme ou un IRI qui fournit une référence non ambiguë pour une entité dans un contexte donné.",,,,,,,,,,,,,,,,"This may be a simple value or resolvable IRI, and can reflect any identifier used to identify an entity (such as a collection, taxon, institution or person) included in the Collection Description.","Může to být jednoduchá hodnota nebo rozlišitelný IRI a může odrážet jakýkoli identifikátor používaný k identifikaci entity (například sbírky, taxonu, instituce nebo osoby) zahrnuté do popisu sbírky.",,,"Il peut s'agir d'une simple valeur ou d'un IRI résoluble, et peut refléter tout identifiant utilisé pour identifier une entité (telle qu'une collection, un taxon, une institution ou une personne) incluse dans la description de la collection.",,,,,,,,,,,,,,,
basisOfScheme,Basis Of Scheme,Základ schématu,,,Base du Modèle,,,,,,A summary of the basis or purpose for the LatimerCoreScheme.,Shrnutí základu nebo účelu LatimerCoreScheme.,,Un resumen de la base o propósito del LatimerCoreScheme.,Un résumé de la raison d'être ou de l'objectif du LatimerCoreScheme.,,,,,,,,,,,,,,,,"This property is intended to summarise the reason for grouping a number of ObjectGroups within the LatimerCoreScheme, and the purpose for which the data is intended to be used. This may also be reflected in the terms and metrics defined using the SchemeTerm and SchemeMeasurementOrFact classes respectively. Using this approach, standard and reusable profiles within the wider Latimer Core standard may be constructed for common collection descriptions use cases.","Tato vlastnost slouží ke shrnutí důvodu seskupení řady ObjectGroups v rámci LatimerCoreScheme a účelu, pro který mají být data použita. To se může rovněž odrážet v termínech a metrikách definovaných pomocí tříd SchemeTerm, respektive SchemeMeasurementOrFact. Pomocí tohoto přístupu lze vytvořit standardní a opakovaně použitelné profily v rámci širšího standardu Latimer Core pro běžné případy použití popisů sbírek.",,"Esta propiedad pretende resumir la razón de agrupar una serie de ObjectGroups dentro del LatimerCoreScheme, y el propósito para el que se pretende utilizar los datos. Esto también puede reflejarse en los términos y métricas definidos mediante las clases SchemeTerm y SchemeMeasurementOrFact respectivamente. Utilizando este enfoque, se pueden construir perfiles estándar y reutilizables dentro de la norma Latimer Core más amplia para casos de uso comunes de descripciones de colecciones.","Cette propriété est destinée à résumer la raison du regroupement d'un certain nombre d'ObjectGroups au sein du LatimerCoreScheme, ainsi que l'objectif pour lequel les données sont destinées à être utilisées. Cela peut également se refléter dans les termes et les statistiques définis à l'aide des classes SchemeTerm et SchemeMeasurementOrFact respectivement. Cette approche permet d'élaborer des profils normés et réutilisables dans le cadre plus large du standard Latimer Core pour les cas d'utilisation courants des descriptions de collections.",,,,,,,,,,,,,,,
hasObjectGroup,Has Object Group,Má skupinu objektů,,,A pour Groupe d'Objet,,,,,,This property refers to one or more related instances of the ObjectGroup class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy ObjectGroup.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe ObjectGroup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasSchemeMeasurementOrFact,Has Scheme Measurement Or Fact,Má schéma měření nebo fakt,,,A pour Mesure ou Fait du Modèle,,,,,,This property refers to one or more related instances of the SchemeMeasurementOrFact class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy SchemeMeasurementOrFact.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe SchemeMeasurementOrFact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasSchemeTerm,Has Scheme Term,Má termín schématu,,,A pour Terme du Modèle,,,,,,This property refers to one or more related instances of the SchemeTerm class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy SchemeTerm.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe SchemeTerm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isDistinctObjects,Is Distinct Objects,Je odlišný objekt,,,Sont des Objets Distincts,,,,,,A flag to designate whether a physical object may be described by more than one ObjectGroup within the LatimerCoreScheme.,"Příznak určující, zda fyzický objekt může být popsán více než jednou skupinou objektů v rámci LatimerCoreScheme.",,Indicador para designar si un objeto físico puede ser descrito por más de un ObjectGroup dentro del LatimerCoreScheme.,Un indicateur permettant de déterminer si un objet physique peut être décrit par plus d'un ObjectGroup au sein du LatimerCoreScheme.,,,,,,,,,,,,,,,,"If isDistinctObjects is set to 'true', then no collection object should be covered by more than one object group within the LatimerCoreScheme. This is important for aggregating and reporting on metrics such as object counts, as it prevents any physical object from being counted more than once.","Pokud je isDistinctObjects nastaveno na hodnotu 'true', pak by žádný objekt sbírky neměl být zahrnut do více než jedné skupiny objektů v rámci LatimerCoreScheme. To je důležité pro agregaci a vykazování metrik, jako jsou počty objektů, protože to zabraňuje tomu, aby byl jakýkoli fyzický objekt započítán více než jednou.",,"Si isDistinctObjects se establece en 'true', ningún objeto de la colección debe estar cubierto por más de un grupo de objetos dentro de LatimerCoreScheme. Esto es importante para agregar e informar sobre métricas como el recuento de objetos, ya que evita que cualquier objeto físico se cuente más de una vez.","Si isDistinctObjects a pour valeur « true », aucun objet de la collection ne doit être couvert par plus d'un groupe d'objets au sein du LatimerCoreScheme. Ceci est important pour l'agrégation et l'établissement de rapports sur des statistiques telles que le nombre d'objets, car cela évite qu'un objet physique soit comptabilisé plusieurs fois.",,,,,,,,,,,,,,,
schemeName,Scheme Name,Název schematu,,,A pour Nom du Modèle,,,,,,A short descriptive name given to the LatimerCoreScheme.,Krátký popisný název pro LatimerCoreScheme.,,,Un nom descriptif et bref donné au LatimerCoreScheme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measurementDerivation,Measurement Derivation,Derivace měření,,,Origine de la Mesure,,,,,,"An indicator as to whether the measurement, fact, characteristic, or assertion being applied to the collection was derived from reported figures or aggregated/calculated from underlying data.","Ukazatel, zda měření, fakt, charakteristika nebo tvrzení, které se na sbírku vztahuje, bylo odvozeno z vykázaných údajů nebo agregováno/vypočteno z podkladových dat.",,,"Un indicateur permettant de savoir si la mesure, le fait, la caractéristique ou l'assertion appliquée à la collection a été dérivée des chiffres déclarés ou agrégée/calculée à partir de données sous-jacentes.",,,,,,,,,,,,,,,,"If there is more detailed information about the method by which a measurement or fact was derived, this should be captured using the measurementMethod property.","Pokud existují podrobnější informace o metodě, kterou bylo měření nebo fakt odvozen, měly by být zachyceny pomocí vlastnosti measurementMethod.",,,"S'il existe des informations plus précises sur la méthode de calcul d'une mesure ou d'un fait, elles doivent être saisies à l'aide de la propriété measurementMethod.",,,,,,,,,,,,,,,
measurementFactText,Fact or Narrative Text,Faktický nebo popisující text,,,Faits ou Texte Narratif,,,,,,"The value of the qualitative fact, characteristic, or assertion being made about the collection.","Hodnota kvalitativního faktu, vlastnosti nebo tvrzení, které se o sbírce uvádí.",,,"La valeur du fait qualitatif, de la caractéristique ou de l'affirmation concernant la collection.",,,,,,,,,,,,,,,,"This property should also be used for storing textual information about the collection within a particular context, such as narratives or comments about digitisation readiness.","Tato vlastnost by měla být použita také pro ukládání textových informací o sbírce v určitém kontextu, jako jsou popisy nebo komentáře k připravenosti digitalizace.",,,"Cette propriété doit également être utilisée pour stocker des informations textuelles sur la collection dans un contexte particulier, telles que des récits ou des commentaires sur l'état d'avancement de la numérisation.",,,,,,,,,,,,,,,
hasParentObjectClassification,Has Parent Object Classification,Má klasifikaci nadřazeného objektu,,,A pour Parent dans la Classification de l'Objet,,,,,,This property refers to one or more related parent instances of the ObjectClassification class.,Tato vlastnost odkazuje na jednu nebo více souvisejících nadřazených instancí třídy ObjectClassification.,,,Cette propriété fait référence à une ou plusieurs instances parentales de la classe ObjectClassification.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isTopParent,Is Top Parent,Je nejvyšší nadřazený,,,Est le Parent le plus Inclusif,,,,,,A flag to indicate that the current instance of ObjectClassification is at the top of the hierarchy represented by multiple nested instances of the class.,"Označení, že aktuální instance třídy ObjectClassification je na vrcholu hierarchie reprezentované více vnořenými instancemi třídy.",,,Un indicateur qui signale que l'instance actuelle de ObjectClassification se trouve au sommet de la hiérarchie représentée par plusieurs instances imbriquées de la classe.,,,,,,"If this term is used, it should be set to `true` in the instance of ObjectClassification which represents the highest level of a hierarchy and `false` in the rest. If the direction of the hierarchy is self-evident or otherwise not notable, this term should not be populated. ","Pokud je tento termín použit, měl by být nastaven na `true` v instanci ObjectClassification, která představuje nejvyšší úroveň hierarchie, a na `false` v ostatních. Pokud je směr hierarchie zřejmý nebo jinak pozoruhodný, neměl by být tento termín vyplněn. ",,,"Si ce terme est utilisé, il doit être mis à `true` dans l'instance d'ObjectClassification qui représente le plus haut niveau d'une hiérarchie et à `false` dans les autres. Si la direction de la hiérarchie est évidente ou si elle n'est pas significative, ce terme ne doit pas être renseigné. ",,,,,,,,,,,,,,,,,,,,,,,,,
objectClassificationLevel,Object Classification Level,Úroveň klasifikace objektu,,,Niveau de Classification de l'Objet,,,,,,The level of the ObjectClassification in the hierarchy.,Úroveň klasifikace objektů v hierarchii.,,,Le niveau de l'ObjectClassification dans la hiérarchie.,,,,,,,,,,,,,,,,It is up to the user to name the levels to be relevant to the hierarchical classification scheme that they are defining.,"Záleží na uživateli, jak pojmenuje úrovně, aby odpovídaly hierarchickému klasifikačnímu schématu, které definuje.",,,Il incombe à l'utilisateur de nommer les niveaux correspondant au système de classification hiérarchique qu'il est en train de définir.,,,,,,,,,,,,,,,
objectClassificationName,Object Classification Name,Název klasifikace objektu,,,Nom de la Classification de l'Objet,,,,,,"A short title describing this ObjectClassification as a class, unit or grouping.","Krátký název popisující tuto klasifikaci objektů jako třídu, jednotku nebo seskupení.",,,"Titre bref décrivant cet objetClassification en tant que classe, unité ou groupe.",,,,,,,,,,,,,,,,"This is a user-determined name given for classifying their collection. This name, expressing an assigned classification, can be part of a self-referential hierarchy.","Jedná se o název určený uživatelem pro klasifikaci jeho sbírky. Tento název, vyjadřující přiřazenou klasifikaci, může být součástí autoreferenční hierarchie.",,,"Nom déterminé par l'utilisateur pour classer sa collection. Ce nom, qui exprime une classification attribuée, peut faire partie d'une hiérarchie qui s'autoréférence.",,,,,,,,,,,,,,,
alternativeCollectionName,Alternative Collection Name,Alternativní název sbírky,,,Nom Alternatif de la Collection,,,,,,One or more short titles different to the one given in ObjectGroup.collectionName used to summarise the collection objects contained within the ObjectGroup.,"Jeden nebo více krátkých názvů odlišných od názvů uvedených v ObjectGroup.collectionName, které slouží ke shrnutí objektů kolekce obsažených ve skupině ObjectGroup.",,,"Un ou plusieurs titres courts différents de celui indiqué dans ObjectGroup.collectionName, utilisés pour résumer les objets de collection contenus dans l'ObjectGroup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseTypeOfObjectGroup,Base Type Of Object Group,Základní typ skupiny objektů,,,Type de Base du Groupe d'Objets,,,,,,High-level terms describing the fundamental nature of objects in the ObjectGroup.,Termíny na vysoké úrovni popisující základní povahu objektů ve skupině ObjectGroup.,,,Termes de haut niveau décrivant la nature générale des objets de l'ObjectGroup.,,,,,,,,,,,,,,,,"For natural history collections baseTypeOfObjectGroup describes types of material entities and may constrain the values available in objectType. Notes for ObjectGroups where baseTypeOfObjectGroup is 'InformationArtefact': subsequent ‘type’ properties could include hierarchical Audubon Core/Dublin Core terms – e.g. dc:type (http://purl.org/dc/elements/1.1/type), ac:subtype / ac:subtypeLiteral (http://rs.tdwg.org/ac/terms/subtypeLiteral), or (proposed) ac:3DResourceType.","Pro přírodovědné sbírky popisuje baseTypeOfObjectGroup typy hmotných entit a může omezovat hodnoty dostupné v objectType. Poznámky pro ObjectGroups, kde baseTypeOfObjectGroup je ""InformationArtefact"": následné vlastnosti ""type"" mohou zahrnovat hierarchické termíny Audubon Core/Dublin Core - např. dc:type (http://purl.org/dc/elements/1.1/type), ac:subtype / ac:subtypeLiteral (http://rs.tdwg.org/ac/terms/subtypeLiteral) nebo (navrhovaný) ac:3DResourceType.",,,"Pour les collections d'histoire naturelle, baseTypeOfObjectGroup décrit les types d'entités matérielles et peut limiter les valeurs disponibles dans objectType. Note pour les ObjectGroups dont baseTypeOfObjectGroup est « InformationArtefact » : les propriétés « type » suivantes peuvent inclure des termes hiérarchiques issus du Audubon Core/Dublin Core - par exemple dc:type (http://purl.org/dc/elements/1.1/type), ac:subtype / ac:subtypeLiteral (http://rs.tdwg.org/ac/terms/subtypeLiteral), ou (proposé) ac:3DResourceType.",,,,,,,,,,,,,,,
collectionManagementSystem,Collection Management System,Systém správy sbírek,,,Système de Gestion de la Collection,,,,,,The collection management system which is used to hold and manage the primary data for the objects contained within the ObjectGroup.,"Systém správy sbírek, který se používá k uchovávání a správě primárních dat pro objekty obsažené ve skupině ObjectGroup.",,,Le système de gestion des collections utilisé pour détenir et gérer les données primaires des objets contenus dans l'ObjectGroup.,,,,,,,,,,,,,,,,"This should reflect the system or database in which the object-level records reside, rather than the source of the Collection Description data.","To by mělo odrážet systém nebo databázi, ve které se nacházejí záznamy na úrovni objektu, a nikoli zdroj dat popisu sbírky.",,,"Ceci doit refléter le système ou la base de données dans lequel les enregistrements au niveau de l'objet se trouvent, plutôt que la source des données de la description de la collection.",,,,,,,,,,,,,,,
collectionName,Collection Name,Název sbírky,,,Nom de la Collection,,,,,,A short title that summarises the collection objects contained within the ObjectGroup.,"Krátký název, který shrnuje objekty sbírky obsažené ve skupině ObjectGroup.",,,Un titre court qui résume les objets de la collection contenus dans l'ObjectGroup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
