term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters,Minimální vzdálenost nad povrchem v metrech,,Distancia mínima de la superficie en metros,Distance minimale au-dessus de la surface en mètres,,,,Минимальная высота над поверхностью в метрах,,,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Menší vzdálenost v rozsahu vzdálenosti od referenční plochy ve svislém směru v metrech. Kladné hodnoty použijte pro místa nad povrchem, záporné hodnoty pro místa pod povrchem. Pokud jsou uvedeny míry hloubky, je referenčním povrchem místo dané hloubkou, jinak je referenčním povrchem místo dané nadmořskou výškou.",,"La menor distancia en metros en un rango de distancias, desde una superficie de referencia en dirección vertical. Use valores positivos para ubicaciones por encima de la superficie y valores negativos para ubicaciones por debajo de ella. Si las medidas de profundidad son proporcionadas, la superficie de referencia es la ubicación determinada por la profundidad, de lo contrario la superficie de referencia es la ubicación dada por la elevación.","La plus petite distance d'une plage de distances par rapport à une surface de référence dans la dimension verticale, en mètres. Utilisez des valeurs positives pour les emplacements situés au-dessus de la surface, et des valeurs négatives pour les emplacements situés en dessous. Si des mesures de profondeur sont données, la surface de référence est l'emplacement donné par la profondeur, sinon la surface de référence est l'emplacement donné par l'élévation.",,,,"Меньшее расстояние в диапазоне расстояния от опорной поверхности в вертикальном направлении, в метрах. Используйте положительные значения для точек выше поверхности, отрицательные — для точек ниже. Если приведены замеры глубины, то опорной поверхностью является местоположение, указанное по глубине, в противном случае опорной поверхностью является местоположение, указанное по высоте над уровнем моря.",,,,,,,,,,,,,,"`-1.5` (below the surface). `4.2` (above the surface). For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",,,,,,,,,,
minimumElevationInMeters,Minimum Elevation In Meters,Minimální nadmořská výška v metrech,,,Altitude minimale en mètres,,,,Минимальная высота в метрах,,,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",Spodní hranice rozsahu nadmořské výšky (obvykle nad mořem) v metrech.,,,"Limite inférieure de la plage d'élévation (altitude, généralement au-dessus du niveau de la mer), en mètres.",,,,"Нижний предел диапазона высоты (над уровнем моря), в метрах.",,,,,,,,,,,,,,,,,,,,,,,,
municipality,Municipality,,,,,,,,,,,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.",,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
pointRadiusSpatialFit,Point Radius Spatial Fit,Prostorové přizpůsobení bodu poloměru,,Ajuste espacial del radio-punto,Ajustement du centre et du rayon,,,,Пространственное соответствие точки-радиуса,,,"The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left empty) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.",,,,,,,,,,,"Detailed explanations with graphical examples can be found in the Georeferencing Best Practices, Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","Podrobné vysvětlení s grafickými příklady lze nalézt v publikaci Georeferencing Best Practices, Chapman a Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,"Se pueden encontrar explicaciones detalladas con ejemplos gráficos en Georeferencing Best Practices, Chapman y Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).","Des explications détaillées avec des exemples illustrés figurent dans le document 'Georeferencing Best Practices', par Chapman et Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,,"Подробные объяснения с графическими примерами приведены в документе «Рекомендации по геопривязке» (Georeferencing Best Practices), Chapman and Wieczorek, 2020 (https://doi.org/10.15468/doc-gg7h-s853).",,,,,,,,,,,,,
stateProvince,State Province,,,,,,,,,,,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
verbatimCoordinates,Verbatim Coordinates,Přesné souřadnice,,Coordenadas originales,Verbatim des coordonnées,,,,Координаты по первоисточнику,,字面上座標,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimCoordinateSystem,Verbatim Coordinate System,Přesný souřadnicový systém,,Sistema original de coordenadas,Verbatim du système de coordonnées,,,,Формат координат по первоисточнику,,字面上座標格式,The coordinate format for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary.,Doporučeným osvědčeným postupem je používat řízený slovník.,,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,Рекомендуется использовать контролируемый словарь.,,,,,,,,,,,,,
verbatimDepth,Verbatim Depth,Přesná hloubka,,Profundidad original,Verbatim de la profondeur,,,,Глубина по первоисточнику,,,The original description of the depth below the local surface.,Původní popis hloubky pod místním povrchem.,,La descripción original de la profundidad por debajo de la superficie.,La description originale de la profondeur sous la surface locale.,,,,Исходное описание глубины залегания относительно поверхности.,,,,,,,,,,,,,,,,,,,,,,,,
verbatimElevation,Verbatim Elevation,Přesná výška,,,Verbatim de l'altitude,,,,Высота по первоисточнику,,字面上海拔,"The original description of the elevation (altitude, usually above sea level) of the Location.",Původní popis nadmořské výšky (obvykle nad mořem) lokality.,,,"La description originale de l'élévation (altitude, généralement au-dessus du niveau de la mer) du lieu.",,,,Исходное описание высоты (обычно высоты над уровнем моря) для Местоположения (Location).,,,,,,,,,,,,,,,,,,,,,,,,
verbatimLatitude,Verbatim Latitude,Přesná zeměpisná šířka,,Latitud original,Verbatim de la latitude,,,,Широта по первоисточнику,,字面上記錄緯度,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimLocality,Verbatim Locality,Přesná lokalita,,,Verbatim de la localité,,,,Локалитет по первоисточнику,,字面上地區,The original textual description of the place.,Původní textový popis místa.,,,La description textuelle originale du lieu.,,,,Оригинальное текстовое описание места (локалитета).,,,,,,,,,,,,,,,,,,,,,,,,
verbatimLongitude,Verbatim Longitude,Přesná zeměpisná délka,,Longitud original,Verbatim de la longitude,,,,Долгота по первоисточнику,,字面上記錄經度,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbatimSRS,Verbatim SRS,Přesný SRS,,SRS original,Verbatim du Système de Référence Spatiale,,,,SRS по первоисточнику,,字面上空間參照系統,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based.",,,,,,,,,,,"Recommended best practice is to use the EPSG code of the SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value `unknown`.",,,,,,,,,,,,,,,,,,,,,
waterBody,Water Body,Vodní plocha,,,Étendue d'eau,,,,Водный объект,,水體,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
